gpu_prefix_length,gpu_experts,gpu_tokens,pim_tokens,gpu_memory_us,gpu_compute_us,gpu_path_us,pim_path_us,scheduler_us,objective_us,step,layer,selected
8,14;15;17;48;62;81;120;121,64,0,23.288616,3.268435456,26.557051456,0.0,20.0,46.557051456,1,11,True
9,11;18;19;39;41;92;106;111;112,64,0,26.303784,3.268435456,29.572219456,0.0,20.0,49.572219456,1,12,True
8,1;13;27;34;91;92;104;117,64,0,23.288616,3.268435456,26.557051456,0.0,20.0,46.557051456,1,13,True
9,2;5;14;19;30;61;97;109;113,64,0,26.303784,3.268435456,29.572219456,0.0,20.0,49.572219456,1,14,True
9,14;26;50;58;63;75;84;125;127,64,0,26.303784,3.268435456,29.572219456,0.0,20.0,49.572219456,1,15,True
9,42;48;70;91;93;97;107;116;122,64,0,26.303784,3.268435456,29.572219456,0.0,20.0,49.572219456,1,16,True
9,3;30;70;73;80;94;122;123;124,64,0,26.303784,3.268435456,29.572219456,0.0,20.0,49.572219456,1,17,True
9,20;32;33;58;74;82;101;104;112,64,0,26.303784,3.268435456,29.572219456,0.0,20.0,49.572219456,1,18,True
10,11;15;28;29;38;52;56;63;92;114,64,0,29.249064,3.268435456,32.517499456,0.0,20.0,52.517499456,1,19,True
8,0;23;48;54;68;78;85;114,64,0,23.288616,3.268435456,26.557051456,0.0,20.0,46.557051456,1,20,True
9,2;6;26;39;63;67;92;115;124,64,0,26.303784,3.268435456,29.572219456,0.0,20.0,49.572219456,1,21,True
9,0;1;6;36;48;75;81;84;92,64,0,26.303784,3.268435456,29.572219456,0.0,20.0,49.572219456,1,22,True
9,17;31;36;48;52;62;81;120;121,64,0,26.303784,3.268435456,29.572219456,0.0,20.0,49.572219456,1,23,True
8,11;18;19;28;45;54;57;106,64,0,23.288616,3.268435456,26.557051456,0.0,20.0,46.557051456,1,24,True
8,1;13;34;43;50;72;91;110,64,0,23.288616,3.268435456,26.557051456,0.0,20.0,46.557051456,1,25,True
9,2;5;27;29;31;72;91;97;113,64,0,26.303784,3.268435456,29.572219456,0.0,20.0,49.572219456,1,26,True
8,14;15;26;44;63;79;84;118,64,0,23.288616,3.268435456,26.557051456,0.0,20.0,46.557051456,1,27,True
9,10;42;46;70;91;98;100;107;122,64,0,26.303784,3.268435456,29.572219456,0.0,20.0,49.572219456,1,28,True
8,3;30;37;51;70;94;120;124,64,0,23.288616,3.268435456,26.557051456,0.0,20.0,46.557051456,1,29,True
10,6;18;25;58;61;82;93;94;104;124,64,0,29.249064,3.268435456,32.517499456,0.0,20.0,52.517499456,1,30,True
11,24;28;38;40;41;63;76;102;113;114;115,64,0,32.264232,3.268435456,35.532667456,0.0,20.0,55.532667456,1,31,True
8,0;6;48;54;68;72;78;85,64,0,23.288616,3.268435456,26.557051456,0.0,20.0,46.557051456,1,32,True
9,2;13;15;26;39;63;67;115;124,64,0,26.303784,3.268435456,29.572219456,0.0,20.0,49.572219456,1,33,True
8,0;1;5;10;75;81;84;92,64,0,23.288616,3.268435456,26.557051456,0.0,20.0,46.557051456,1,34,True
8,15;17;31;36;48;51;62;120,64,0,23.288616,3.268435456,26.557051456,0.0,20.0,46.557051456,1,35,True
8,11;18;19;28;54;62;101;106,64,0,23.288616,3.268435456,26.557051456,0.0,20.0,46.557051456,1,36,True
9,1;13;27;34;43;50;91;108;110,64,0,26.303784,3.268435456,29.572219456,0.0,20.0,49.572219456,1,37,True
8,2;27;31;91;108;109;110;113,64,0,23.288616,3.268435456,26.557051456,0.0,20.0,46.557051456,1,38,True
9,14;26;48;58;63;84;99;118;125,64,0,26.303784,3.268435456,29.572219456,0.0,20.0,49.572219456,1,39,True
9,13;19;46;48;91;94;98;115;122,64,0,26.303784,3.268435456,29.572219456,0.0,20.0,49.572219456,1,40,True
8,30;80;81;94;100;116;122;124,64,0,23.288616,3.268435456,26.557051456,0.0,20.0,46.557051456,1,41,True
9,0;30;43;47;66;76;88;106;109,64,0,26.303784,3.268435456,29.572219456,0.0,20.0,49.572219456,1,42,True
8,11;32;45;74;80;86;99;106,64,0,23.288616,3.268435456,26.557051456,0.0,20.0,46.557051456,1,43,True
10,12;15;34;40;49;50;76;79;112;119,64,0,29.249064,3.268435456,32.517499456,0.0,20.0,52.517499456,1,44,True
8,1;4;7;18;26;73;109;110,64,0,23.288616,3.268435456,26.557051456,0.0,20.0,46.557051456,1,45,True
9,4;42;46;48;62;64;102;110;112,64,0,26.303784,3.268435456,29.572219456,0.0,20.0,49.572219456,1,46,True
8,22;30;38;41;46;54;58;110,64,0,23.288616,3.268435456,26.557051456,0.0,20.0,46.557051456,1,47,True
8,36;70;79;86;105;112;122;124,64,0,23.288616,3.268435456,26.557051456,0.0,20.0,46.557051456,2,0,True
8,13;29;30;40;67;68;101;104,64,0,23.288616,3.268435456,26.557051456,0.0,20.0,46.557051456,2,1,True
8,6;44;49;56;71;72;76;126,64,0,23.288616,3.268435456,26.557051456,0.0,20.0,46.557051456,2,2,True
9,12;42;46;56;71;95;97;99;122,64,0,26.303784,3.268435456,29.572219456,0.0,20.0,49.572219456,2,3,True
10,1;6;12;14;26;33;64;95;108;114,64,0,29.249064,3.268435456,32.517499456,0.0,20.0,52.517499456,2,4,True
8,4;6;38;65;73;79;85;94,64,0,23.288616,3.268435456,26.557051456,0.0,20.0,46.557051456,2,5,True
10,20;32;33;49;58;74;82;92;112;121,64,0,29.249064,3.268435456,32.517499456,0.0,20.0,52.517499456,2,6,True
9,15;19;24;29;44;52;56;63;114,64,0,26.303784,3.268435456,29.572219456,0.0,20.0,49.572219456,2,7,True
9,11;22;23;45;50;54;68;78;85,64,0,26.303784,3.268435456,29.572219456,0.0,20.0,49.572219456,2,8,True
11,0;13;23;38;46;63;67;69;82;106;115,64,0,32.264232,3.268435456,35.532667456,0.0,20.0,55.532667456,2,9,True
8,1;5;19;31;36;71;84;92,64,0,23.288616,3.268435456,26.557051456,0.0,20.0,46.557051456,2,10,True
8,15;25;48;62;81;104;117;121,64,0,23.288616,3.268435456,26.557051456,0.0,20.0,46.557051456,2,11,True
8,11;18;19;27;40;41;57;62,64,0,23.288616,3.268435456,26.557051456,0.0,20.0,46.557051456,2,12,True
9,1;27;34;48;63;85;91;104;122,64,0,26.303784,3.268435456,29.572219456,0.0,20.0,49.572219456,2,13,True
8,2;5;29;61;87;97;109;113,64,0,23.288616,3.268435456,26.557051456,0.0,20.0,46.557051456,2,14,True
9,2;15;50;51;58;63;79;84;127,64,0,26.303784,3.268435456,29.572219456,0.0,20.0,49.572219456,2,15,True
8,42;46;48;70;97;107;116;122,64,0,23.288616,3.268435456,26.557051456,0.0,20.0,46.557051456,2,16,True
8,13;34;54;80;96;118;122;123,64,0,23.288616,3.268435456,26.557051456,0.0,20.0,46.557051456,2,17,True
10,18;26;32;33;58;82;87;93;104;112,64,0,29.249064,3.268435456,32.517499456,0.0,20.0,52.517499456,2,18,True
8,11;28;29;52;56;63;92;114,64,0,23.288616,3.268435456,26.557051456,0.0,20.0,46.557051456,2,19,True
9,0;6;23;45;68;69;78;85;114,64,0,26.303784,3.268435456,29.572219456,0.0,20.0,49.572219456,2,20,True
9,2;6;26;38;56;63;67;70;115,64,0,26.303784,3.268435456,29.572219456,0.0,20.0,49.572219456,2,21,True
8,0;1;12;36;71;75;84;92,64,0,23.288616,3.268435456,26.557051456,0.0,20.0,46.557051456,2,22,True
10,15;25;31;36;38;48;62;81;108;121,64,0,29.249064,3.268435456,32.517499456,0.0,20.0,52.517499456,2,23,True
