gpu_prefix_length,gpu_experts,gpu_tokens,pim_tokens,gpu_memory_us,gpu_compute_us,gpu_path_us,pim_path_us,scheduler_us,objective_us,isolation_available,step,layer,selected
0,,0,128,0.0,0.0,0.0,197.072304,20.0,217.072304,True,0,10,False
1,1,16,112,2.461056,3.067108864,5.528164864,172.447704,20.0,192.447704,True,0,10,False
2,1;5,32,96,5.406336,3.134217728,8.540553728,147.822168,20.0,167.822168,True,0,10,False
3,1;5;12,48,80,8.421504,3.201326592,11.622830592,123.196632,20.0,143.196632,True,0,10,False
4,1;5;12;28,64,64,11.366784,3.268435456,14.635219456,98.535528,20.0,118.535528,True,0,10,False
5,1;5;12;28;31,80,48,14.381952,3.33554432,17.71749632,73.909992,20.0,93.909992,True,0,10,False
6,1;5;12;28;31;90,96,32,17.385888,3.402653184,20.788541184,49.285704,20.0,69.285704,True,0,10,False
7,1;5;12;28;31;90;92,112,16,20.327112,3.469762048,23.796874048,24.661104,20.0,44.661104,True,0,10,True
8,1;5;12;28;31;90;92;98,128,0,23.288616,3.536870912,26.825486912,0.0,20.0,46.825486912,True,0,10,False
0,,0,128,0.0,0.0,0.0,197.072304,20.0,217.072304,True,0,11,False
1,17,16,112,2.461056,3.067108864,5.528164864,172.447704,20.0,192.447704,True,0,11,False
2,17;54,32,96,5.406336,3.134217728,8.540553728,147.822168,20.0,167.822168,True,0,11,False
3,17;54;62,48,80,8.421504,3.201326592,11.622830592,123.196632,20.0,143.196632,True,0,11,False
4,17;54;62;108,64,64,11.366784,3.268435456,14.635219456,98.535528,20.0,118.535528,True,0,11,False
5,17;54;62;108;120,80,48,14.381952,3.33554432,17.71749632,73.909992,20.0,93.909992,True,0,11,False
6,17;54;62;108;120;121,96,32,17.385888,3.402653184,20.788541184,49.285704,20.0,69.285704,True,0,11,False
7,15;17;54;62;108;120;121,111,17,20.337096,3.465567744,23.802663744,26.217672,20.0,46.217672,True,0,11,True
8,15;17;54;62;81;108;120;121,124,4,23.221536,3.520093696,26.741629696,6.190392,20.0,46.741629696,True,0,11,False
9,15;17;54;62;81;104;108;120;121,128,0,26.303784,3.536870912,29.840654912,0.0,20.0,49.840654912,True,0,11,False
0,,0,128,0.0,0.0,0.0,197.072304,20.0,217.072304,True,0,12,False
1,11,16,112,2.461056,3.067108864,5.528164864,172.447704,20.0,192.447704,True,0,12,False
2,11;18,32,96,5.406336,3.134217728,8.540553728,147.822168,20.0,167.822168,True,0,12,False
3,11;18;33,48,80,8.421504,3.201326592,11.622830592,123.196632,20.0,143.196632,True,0,12,False
4,11;18;33;39,64,64,11.366784,3.268435456,14.635219456,98.535528,20.0,118.535528,True,0,12,False
5,11;18;33;39;41,80,48,14.381952,3.33554432,17.71749632,73.909992,20.0,93.909992,True,0,12,False
6,11;18;33;39;41;89,96,32,17.385888,3.402653184,20.788541184,49.285704,20.0,69.285704,True,0,12,False
7,11;18;33;39;41;49;89,110,18,20.296224,3.46137344,23.75759744,27.738672,20.0,47.738672,True,0,12,False
8,11;18;33;39;41;49;89;108,124,4,23.221536,3.520093696,26.741629696,6.190392,20.0,46.741629696,True,0,12,True
9,11;18;27;33;39;41;49;89;108,128,0,26.303784,3.536870912,29.840654912,0.0,20.0,49.840654912,True,0,12,False
0,,0,128,0.0,0.0,0.0,197.072304,20.0,217.072304,True,0,13,False
1,13,16,112,2.461056,3.067108864,5.528164864,172.447704,20.0,192.447704,True,0,13,False
2,13;27,32,96,5.406336,3.134217728,8.540553728,147.822168,20.0,167.822168,True,0,13,False
3,13;27;33,48,80,8.421504,3.201326592,11.622830592,123.196632,20.0,143.196632,True,0,13,False
4,13;27;33;34,64,64,11.366784,3.268435456,14.635219456,98.535528,20.0,118.535528,True,0,13,False
5,13;27;33;34;63,80,48,14.381952,3.33554432,17.71749632,73.909992,20.0,93.909992,True,0,13,False
6,13;27;33;34;63;91,96,32,17.385888,3.402653184,20.788541184,49.285704,20.0,69.285704,True,0,13,False
7,13;27;33;34;63;91;97,112,16,20.327112,3.469762048,23.796874048,24.661104,20.0,44.661104,True,0,13,True
8,13;27;33;34;63;85;91;97,127,1,23.276448,3.532676608,26.809124608,1.591512,20.0,46.809124608,True,0,13,False
9,13;27;33;34;63;85;91;93;97,128,0,26.303784,3.536870912,29.840654912,0.0,20.0,49.840654912,True,0,13,False
0,,0,128,0.0,0.0,0.0,197.072304,20.0,217.072304,True,0,14,False
1,2,16,112,2.461056,3.067108864,5.528164864,172.447704,20.0,192.447704,True,0,14,False
2,2;5,32,96,5.406336,3.134217728,8.540553728,147.822168,20.0,167.822168,True,0,14,False
3,2;5;49,48,80,8.421504,3.201326592,11.622830592,123.196632,20.0,143.196632,True,0,14,False
4,2;5;49;61,64,64,11.366784,3.268435456,14.635219456,98.535528,20.0,118.535528,True,0,14,False
5,2;5;49;61;63,80,48,14.381952,3.33554432,17.71749632,73.909992,20.0,93.909992,True,0,14,False
6,2;5;49;61;63;92,96,32,17.385888,3.402653184,20.788541184,49.285704,20.0,69.285704,True,0,14,False
7,2;5;49;61;63;92;109,112,16,20.327112,3.469762048,23.796874048,24.661104,20.0,44.661104,True,0,14,True
8,2;5;49;61;63;92;109;113,128,0,23.288616,3.536870912,26.825486912,0.0,20.0,46.825486912,True,0,14,False
0,,0,128,0.0,0.0,0.0,197.072304,20.0,217.072304,True,0,15,False
1,2,16,112,2.461056,3.067108864,5.528164864,172.447704,20.0,192.447704,True,0,15,False
2,2;26,32,96,5.406336,3.134217728,8.540553728,147.822168,20.0,167.822168,True,0,15,False
3,2;26;50,48,80,8.421504,3.201326592,11.622830592,123.196632,20.0,143.196632,True,0,15,False
