context_length,total_pseudo_channels,seed,head_dim,logit_std,scalar_format,max_abs_error,mean_abs_error,rmse,relative_l2_error,cosine_similarity,vs_fp32_partial_max_abs_error,vs_fp32_partial_mean_abs_error,vs_fp32_partial_rmse,vs_fp32_partial_relative_l2_error,vs_fp32_partial_cosine_similarity
4096,8,8,128,1.0,fp16,0.00014276663017670152,3.490171265441106e-05,4.663239743591696e-05,0.0018619619968239483,0.9999990031968741,0.00014278642838617267,3.490807238396674e-05,4.663954007551038e-05,0.001862246841226066,0.99999900289431
4096,8,1,128,4.0,fp32,2.514506919348847e-07,7.978223850410468e-08,9.805406739554647e-08,2.9283281712053926e-07,0.9999999999999873,0.0,0.0,0.0,0.0,1.0
4096,8,1,128,4.0,bf16,0.008462837414739632,0.002297076852990191,0.0028613932680374467,0.0085453859674077,0.9999814379098552,0.008462585964047697,0.002297001387988753,0.0028613025589037874,0.008545112975563816,0.9999814387603787
4096,8,1,128,4.0,fp16,0.001549302640755923,0.0005225651069554164,0.0006399564228560784,0.0019111929481044662,0.9999996941612435,0.0015491094959749763,0.0005224867793364377,0.0006398614455686859,0.0019109088355852729,0.9999996942758997
4096,8,2,128,4.0,fp32,2.7967941762518933e-07,8.77407307183019e-08,1.0885500788005262e-07,2.057819402527694e-07,0.999999999999999,0.0,0.0,0.0,0.0,1.0
4096,8,2,128,4.0,bf16,0.004711930381934515,0.0017611007799744167,0.0020457175992319647,0.0038672702797749084,0.9999933779275729,0.004712069128300023,0.00176112434675081,0.0020457421854157306,0.0038673175225126333,0.999993378003747
4096,8,2,128,4.0,fp16,0.0016791898414973971,0.0005049267326123359,0.0006393419084782899,0.0012086262357037588,0.9999998036529686,0.0016789400786321185,0.0005048588279351881,0.0006392547057285892,0.001208461624557268,0.9999998036478424
4096,8,3,128,4.0,fp32,1.0421238327840143e-07,3.954003203086054e-08,4.751701366114387e-08,1.9835737541116688e-07,0.9999999999999977,0.0,0.0,0.0,0.0,1.0
4096,8,3,128,4.0,bf16,0.018790265610309276,0.005528771140473751,0.006732236928083158,0.028103383289693147,0.9998396073522361,0.018790365137447196,0.005528805579213463,0.006732278711723314,0.028103562925171077,0.9998396064264506
4096,8,3,128,4.0,fp16,0.0007327027423545407,0.00025028884661818906,0.00030834023025604437,0.0012871507297033172,0.9999993607408527,0.0007326032152166206,0.00025026070969871395,0.00030830603160590745,0.001287008207838811,0.9999993608103669
4096,8,4,128,4.0,fp32,1.3566513956675408e-07,2.8031351573742317e-08,3.980257973048545e-08,4.7968722235476154e-08,0.9999999999999993,0.0,0.0,0.0,0.0,1.0
4096,8,4,128,4.0,bf16,0.011841309695864721,0.004107314098720977,0.005130953715459011,0.006183651794595269,0.9999967405590211,0.011841213697333153,0.004107287966916937,0.005130923153953218,0.006183614716367327,0.9999967405624768
4096,8,4,128,4.0,fp16,0.0007249659579824375,0.00016970338638940338,0.00022656555371179072,0.00027304913871709964,0.9999999652929378,0.0007251001266337376,0.0001696936194606136,0.00022655574464119655,0.00027303730627138413,0.9999999652933117
4096,8,5,128,4.0,fp32,6.793360344398147e-08,2.2602339860525883e-08,2.7923880554208496e-08,1.1006359504684747e-07,0.9999999999999942,0.0,0.0,0.0,0.0,1.0
