layer,previous_step,current_step,step_delta,active_expert_jaccard,hot_expert_jaccard,load_churn,mean_request_route_jaccard,changed_request_fraction,same_load_signature
18,6,7,1,0.545454545,0.6,0.28125,0.563636364,1.0,False
19,0,1,1,0.307692308,0.333333333,0.5,0.333333333,1.0,False
19,1,2,1,0.416666667,0.454545455,0.375,0.454545455,1.0,False
19,2,3,1,0.285714286,0.333333333,0.515625,0.320512821,1.0,True
19,3,4,1,0.428571429,0.454545455,0.359375,0.475757576,1.0,False
19,4,5,1,0.5,0.333333333,0.40625,0.415151515,1.0,False
19,5,6,1,0.384615385,0.333333333,0.453125,0.378787879,1.0,False
19,6,7,1,0.454545455,0.454545455,0.375,0.454545455,1.0,True
20,0,1,1,0.416666667,0.454545455,0.421875,0.409090909,1.0,False
20,1,2,1,0.5,0.454545455,0.34375,0.490909091,1.0,False
20,2,3,1,0.384615385,0.333333333,0.453125,0.378787879,1.0,False
20,3,4,1,0.416666667,0.333333333,0.453125,0.378787879,1.0,False
20,4,5,1,0.545454545,0.454545455,0.375,0.454545455,1.0,False
20,5,6,1,0.545454545,0.454545455,0.359375,0.472727273,1.0,False
20,6,7,1,0.454545455,0.454545455,0.375,0.454545455,1.0,True
21,0,1,1,0.384615385,0.333333333,0.453125,0.378787879,1.0,False
21,1,2,1,0.307692308,0.333333333,0.5,0.333333333,1.0,False
21,2,3,1,0.5,0.454545455,0.359375,0.472727273,1.0,True
21,3,4,1,0.384615385,0.333333333,0.4375,0.393939394,1.0,False
21,4,5,1,0.461538462,0.6,0.3125,0.527272727,1.0,False
21,5,6,1,0.5,0.454545455,0.359375,0.472727273,1.0,False
21,6,7,1,0.230769231,0.230769231,0.625,0.230769231,1.0,True
22,0,1,1,0.545454545,0.454545455,0.359375,0.472727273,1.0,False
22,1,2,1,0.777777778,0.777777778,0.125,0.777777778,1.0,True
22,2,3,1,0.333333333,0.333333333,0.5,0.333333333,1.0,True
22,3,4,1,0.125,0.142857143,0.78125,0.123809524,1.0,False
22,4,5,1,0.461538462,0.333333333,0.46875,0.348484848,1.0,False
22,5,6,1,0.5,0.6,0.25,0.6,1.0,False
22,6,7,1,0.307692308,0.230769231,0.59375,0.256410256,1.0,False
23,0,1,1,0.636363636,0.454545455,0.375,0.454545455,1.0,False
23,1,2,1,0.333333333,0.333333333,0.5,0.333333333,1.0,True
23,2,3,1,0.333333333,0.333333333,0.5,0.333333333,1.0,True
23,3,4,1,0.214285714,0.230769231,0.625,0.230769231,1.0,False
23,4,5,1,0.583333333,0.454545455,0.359375,0.454545455,1.0,False
23,5,6,1,0.2,0.230769231,0.671875,0.197802198,1.0,False
23,6,7,1,0.384615385,0.230769231,0.578125,0.269230769,1.0,False
24,0,1,1,0.384615385,0.454545455,0.4375,0.393939394,1.0,False
24,1,2,1,0.416666667,0.333333333,0.5,0.333333333,1.0,False
24,2,3,1,0.266666667,0.230769231,0.59375,0.243589744,1.0,False
24,3,4,1,0.333333333,0.230769231,0.578125,0.243589744,1.0,True
24,4,5,1,0.5,0.333333333,0.5,0.333333333,1.0,False
24,5,6,1,0.230769231,0.230769231,0.625,0.230769231,1.0,True
24,6,7,1,0.454545455,0.454545455,0.375,0.454545455,1.0,True
25,0,1,1,0.545454545,0.454545455,0.34375,0.490909091,1.0,False
25,1,2,1,0.357142857,0.333333333,0.46875,0.365967366,1.0,False
25,2,3,1,0.428571429,0.454545455,0.46875,0.368298368,1.0,False
25,3,4,1,0.2,0.142857143,0.75,0.144322344,1.0,True
25,4,5,1,0.461538462,0.333333333,0.484375,0.348484848,1.0,False
25,5,6,1,0.357142857,0.333333333,0.484375,0.348484848,1.0,False
25,6,7,1,0.285714286,0.333333333,0.59375,0.26007326,1.0,False
26,0,1,1,0.307692308,0.333333333,0.5,0.333333333,1.0,False
26,1,2,1,0.6,0.6,0.25,0.6,1.0,True
26,2,3,1,0.214285714,0.230769231,0.640625,0.21978022,1.0,False
26,3,4,1,0.214285714,0.142857143,0.75,0.142857143,1.0,False
26,4,5,1,0.214285714,0.230769231,0.625,0.230769231,1.0,False
26,5,6,1,0.416666667,0.333333333,0.46875,0.363636364,1.0,False
26,6,7,1,0.066666667,0.066666667,0.875,0.066666667,1.0,True
27,0,1,1,0.384615385,0.333333333,0.46875,0.363636364,1.0,True
27,1,2,1,0.384615385,0.454545455,0.4375,0.396270396,1.0,False
27,2,3,1,0.214285714,0.230769231,0.625,0.230769231,1.0,False
27,3,4,1,0.1875,0.142857143,0.78125,0.123809524,1.0,False
27,4,5,1,0.461538462,0.6,0.265625,0.581818182,1.0,False
27,5,6,1,0.117647059,0.142857143,0.75,0.142857143,1.0,False
27,6,7,1,0.1875,0.230769231,0.6875,0.186813187,1.0,False
28,0,1,1,0.384615385,0.454545455,0.375,0.454545455,1.0,False
28,1,2,1,0.285714286,0.333333333,0.515625,0.320512821,1.0,False
28,2,3,1,0.416666667,0.333333333,0.484375,0.348484848,1.0,False
28,3,4,1,0.416666667,0.333333333,0.453125,0.378787879,1.0,False
28,4,5,1,0.285714286,0.333333333,0.5,0.333333333,1.0,False
28,5,6,1,0.5,0.333333333,0.421875,0.412121212,1.0,False
28,6,7,1,0.384615385,0.333333333,0.453125,0.378787879,1.0,False
29,0,1,1,0.1875,0.142857143,0.734375,0.153846154,1.0,False
29,1,2,1,0.285714286,0.230769231,0.59375,0.256410256,1.0,False
29,2,3,1,0.214285714,0.230769231,0.625,0.230769231,1.0,False
