step,layer,expert_id,token_count,target
0,31,59,16,gpu
0,31,79,16,gpu
0,31,82,10,gpu
0,31,112,1,pim
0,31,114,16,gpu
0,32,5,16,gpu
0,32,10,13,gpu
0,32,16,16,gpu
0,32,30,16,gpu
0,32,48,16,gpu
0,32,57,3,pim
0,32,83,16,gpu
0,32,92,16,gpu
0,32,114,16,gpu
0,33,0,16,gpu
0,33,2,16,gpu
0,33,13,16,gpu
0,33,14,16,gpu
0,33,34,16,gpu
0,33,50,16,gpu
0,33,51,16,gpu
0,33,63,16,gpu
0,34,12,16,gpu
0,34,22,7,gpu
0,34,29,16,gpu
0,34,51,6,gpu
0,34,58,16,gpu
0,34,67,16,gpu
0,34,68,16,gpu
0,34,75,16,gpu
0,34,84,16,gpu
0,34,92,3,pim
0,35,3,16,gpu
0,35,14,16,gpu
0,35,15,16,gpu
0,35,17,13,gpu
0,35,31,14,gpu
0,35,32,16,gpu
0,35,54,16,gpu
0,35,62,16,gpu
0,35,76,5,gpu
0,36,11,7,gpu
0,36,20,16,gpu
0,36,21,16,gpu
0,36,62,16,gpu
0,36,78,9,gpu
0,36,85,16,gpu
0,36,89,16,gpu
0,36,111,16,gpu
0,36,122,16,gpu
0,37,0,16,gpu
0,37,11,2,pim
0,37,25,16,gpu
0,37,26,16,gpu
0,37,71,16,gpu
0,37,73,13,gpu
0,37,91,16,gpu
0,37,97,1,pim
0,37,110,16,gpu
0,37,122,16,gpu
0,38,4,7,gpu
0,38,5,3,pim
0,38,12,16,gpu
0,38,76,16,gpu
0,38,81,16,gpu
0,38,100,16,gpu
0,38,104,16,gpu
0,38,109,16,gpu
0,38,110,16,gpu
0,38,121,6,gpu
0,39,2,16,gpu
0,39,5,1,pim
0,39,16,15,gpu
0,39,49,16,gpu
0,39,59,16,gpu
0,39,70,16,gpu
0,39,106,16,gpu
0,39,118,16,gpu
0,39,127,16,gpu
0,40,34,16,gpu
0,40,48,16,gpu
0,40,58,16,gpu
0,40,65,16,gpu
0,40,87,15,gpu
0,40,89,5,gpu
0,40,91,16,gpu
0,40,98,4,gpu
0,40,115,8,gpu
0,40,122,16,gpu
0,41,1,16,gpu
0,41,10,16,gpu
0,41,21,16,gpu
0,41,33,16,gpu
0,41,37,16,gpu
0,41,80,16,gpu
0,41,105,16,gpu
0,41,123,16,gpu
0,42,30,16,gpu
0,42,35,16,gpu
0,42,39,15,gpu
0,42,43,16,gpu
0,42,76,16,gpu
0,42,81,16,gpu
0,42,88,6,gpu
0,42,114,16,gpu
0,42,115,11,gpu
0,43,10,16,gpu
0,43,11,16,gpu
0,43,37,16,gpu
0,43,45,16,gpu
0,43,83,16,gpu
0,43,92,16,gpu
0,43,94,16,gpu
0,43,96,16,gpu
0,44,7,16,gpu
0,44,12,16,gpu
0,44,15,16,gpu
0,44,65,13,gpu
0,44,79,16,gpu
0,44,90,16,gpu
0,44,96,1,pim
0,44,102,16,gpu
0,44,104,2,pim
0,44,107,16,gpu
0,45,1,16,gpu
0,45,2,16,gpu
0,45,4,16,gpu
0,45,18,16,gpu
0,45,53,16,gpu
0,45,64,16,gpu
0,45,92,16,gpu
0,45,107,16,gpu
0,46,4,11,gpu
0,46,21,16,gpu
0,46,34,16,gpu
0,46,35,16,gpu
0,46,38,16,gpu
0,46,97,16,gpu
0,46,99,5,gpu
0,46,102,16,gpu
0,46,103,16,gpu
0,47,20,16,gpu
0,47,46,16,gpu
0,47,57,16,gpu
0,47,58,16,gpu
0,47,73,16,gpu
0,47,105,16,gpu
0,47,109,16,gpu
0,47,110,16,gpu
1,0,14,16,gpu
1,0,21,16,gpu
1,0,50,16,gpu
1,0,51,16,gpu
1,0,57,16,gpu
1,0,103,16,gpu
1,0,106,16,gpu
1,0,110,16,gpu
1,1,3,16,gpu
1,1,6,16,gpu
1,1,9,16,gpu
1,1,33,16,gpu
1,1,42,16,gpu
1,1,49,16,gpu
1,1,51,16,gpu
1,1,95,16,gpu
1,2,56,16,gpu
1,2,72,16,gpu
1,2,82,16,gpu
1,2,90,16,gpu
1,2,92,16,gpu
1,2,95,16,gpu
1,2,122,16,gpu
1,2,123,16,gpu
1,3,30,16,gpu
1,3,39,16,gpu
1,3,56,16,gpu
1,3,71,16,gpu
1,3,87,16,gpu
1,3,108,16,gpu
1,3,114,16,gpu
1,3,117,16,gpu
1,4,12,16,gpu
1,4,19,16,gpu
1,4,64,16,gpu
1,4,65,16,gpu
1,4,100,16,gpu
1,4,108,16,gpu
1,4,110,16,gpu
1,4,114,16,gpu
1,5,4,16,gpu
1,5,38,16,gpu
1,5,46,16,gpu
1,5,53,16,gpu
1,5,65,16,gpu
1,5,73,16,gpu
1,5,84,16,gpu
1,5,104,16,gpu
1,6,33,16,gpu
1,6,43,16,gpu
1,6,49,16,gpu
1,6,58,16,gpu
1,6,82,16,gpu
1,6,112,16,gpu
1,6,116,16,gpu
1,6,126,16,gpu
1,7,15,16,gpu
1,7,19,16,gpu
1,7,29,16,gpu
1,7,44,16,gpu
1,7,52,16,gpu
1,7,56,16,gpu
1,7,75,16,gpu
1,7,114,16,gpu
1,8,11,16,gpu
1,8,50,16,gpu
1,8,53,16,gpu
1,8,68,2,pim
1,8,83,14,gpu
1,8,85,16,gpu
1,8,92,16,gpu
1,8,102,16,gpu
1,8,123,16,gpu
1,9,2,16,gpu
1,9,11,16,gpu
1,9,13,16,gpu
1,9,16,16,gpu
1,9,38,16,gpu
1,9,92,16,gpu
1,9,124,16,gpu
1,9,125,16,gpu
1,10,1,16,gpu
1,10,6,16,gpu
1,10,9,12,gpu
1,10,19,4,gpu
1,10,29,16,gpu
1,10,42,16,gpu
1,10,48,16,gpu
1,10,84,16,gpu
1,10,98,16,gpu
1,11,3,15,gpu
1,11,17,16,gpu
1,11,52,2,pim
1,11,62,16,gpu
1,11,76,16,gpu
1,11,81,16,gpu
1,11,108,16,gpu
1,11,109,16,gpu
1,11,121,15,gpu
1,12,11,16,gpu
1,12,24,16,gpu
1,12,41,16,gpu
1,12,57,16,gpu
1,12,78,16,gpu
1,12,106,16,gpu
1,12,111,16,gpu
1,12,125,16,gpu
1,13,11,8,gpu
1,13,31,12,gpu
1,13,33,12,gpu
1,13,34,16,gpu
1,13,93,16,gpu
1,13,104,16,gpu
1,13,110,16,gpu
1,13,117,16,gpu
1,13,119,16,gpu
1,14,2,16,gpu
1,14,5,16,gpu
1,14,14,3,pim
1,14,61,16,gpu
1,14,97,16,gpu
1,14,105,16,gpu
1,14,109,16,gpu
1,14,113,13,gpu
1,14,121,16,gpu
1,15,15,16,gpu
1,15,21,16,gpu
1,15,58,16,gpu
1,15,63,16,gpu
