layer,previous_step,current_step,step_delta,active_expert_jaccard,hot_expert_jaccard,load_churn,mean_request_route_jaccard,changed_request_fraction,same_load_signature
17,6,7,1,0.440677966,0.230769231,0.46875,0.236263736,1.0,False
18,0,1,1,0.352941176,0.333333333,0.5,0.313636364,1.0,False
18,1,2,1,0.653061224,0.454545455,0.3125,0.256105006,1.0,False
18,2,3,1,0.538461538,0.454545455,0.34375,0.28533966,1.0,False
18,3,4,1,0.529411765,0.6,0.390625,0.281177156,1.0,False
18,4,5,1,0.574468085,0.454545455,0.375,0.342157842,1.0,False
18,5,6,1,0.509803922,0.333333333,0.390625,0.400743701,1.0,False
18,6,7,1,0.5,0.454545455,0.375,0.385281385,1.0,False
19,0,1,1,0.354166667,0.6,0.453125,0.349553225,1.0,False
19,1,2,1,0.452830189,0.454545455,0.375,0.23982684,1.0,False
19,2,3,1,0.433962264,0.6,0.34375,0.325541126,1.0,False
19,3,4,1,0.481481481,0.454545455,0.328125,0.38975469,1.0,False
19,4,5,1,0.418181818,0.333333333,0.40625,0.31954712,1.0,False
19,5,6,1,0.547169811,0.333333333,0.4375,0.336796537,1.0,False
19,6,7,1,0.516129032,0.6,0.359375,0.378968254,1.0,False
20,0,1,1,0.306122449,0.333333333,0.5,0.325621601,1.0,False
20,1,2,1,0.490566038,0.6,0.34375,0.2,1.0,False
20,2,3,1,0.377358491,0.333333333,0.453125,0.254711955,1.0,False
20,3,4,1,0.392156863,0.6,0.359375,0.318348318,1.0,False
20,4,5,1,0.431372549,0.777777778,0.390625,0.295737596,1.0,False
20,5,6,1,0.452830189,0.6,0.375,0.395115995,1.0,False
20,6,7,1,0.438596491,0.454545455,0.375,0.316341991,1.0,False
21,0,1,1,0.326530612,0.230769231,0.546875,0.234149184,1.0,False
21,1,2,1,0.5,0.454545455,0.34375,0.208008658,1.0,False
21,2,3,1,0.470588235,0.333333333,0.375,0.260664336,1.0,False
21,3,4,1,0.471698113,0.454545455,0.359375,0.297771673,1.0,False
21,4,5,1,0.388888889,0.454545455,0.453125,0.296703297,1.0,False
21,5,6,1,0.461538462,0.454545455,0.40625,0.336530137,1.0,False
21,6,7,1,0.4,0.230769231,0.4375,0.346378621,1.0,False
22,0,1,1,0.224489796,0.230769231,0.578125,0.196062271,1.0,False
22,1,2,1,0.5,0.333333333,0.34375,0.203521479,1.0,False
22,2,3,1,0.444444444,0.454545455,0.421875,0.238045288,1.0,False
22,3,4,1,0.379310345,0.230769231,0.515625,0.234149184,1.0,False
22,4,5,1,0.316666667,0.230769231,0.5625,0.222893773,1.0,False
22,5,6,1,0.423076923,0.333333333,0.421875,0.38023088,1.0,False
22,6,7,1,0.344262295,0.333333333,0.515625,0.207417582,1.0,False
23,0,1,1,0.229166667,0.230769231,0.640625,0.170188145,1.0,False
23,1,2,1,0.452830189,0.454545455,0.34375,0.19486347,1.0,False
23,2,3,1,0.469387755,0.333333333,0.34375,0.211580087,1.0,False
23,3,4,1,0.489795918,0.333333333,0.375,0.28533966,1.0,False
23,4,5,1,0.275862069,0.142857143,0.5625,0.217207792,1.0,False
23,5,6,1,0.407407407,0.230769231,0.46875,0.303196803,1.0,False
23,6,7,1,0.457627119,0.142857143,0.4375,0.221703297,1.0,False
24,0,1,1,0.340425532,0.142857143,0.546875,0.271256521,1.0,False
24,1,2,1,0.519230769,0.454545455,0.390625,0.182936508,1.0,False
24,2,3,1,0.413793103,0.230769231,0.4375,0.200815851,1.0,False
24,3,4,1,0.418181818,0.230769231,0.453125,0.278787879,1.0,False
