step,layer,expert,assignment_count,normalized_assignment_share,routing_weight_sum,hot_rank
0,10,61,4,0.0625,0.410384931,4
0,10,98,4,0.0625,0.339501701,5
0,10,56,3,0.046875,0.472854912,6
0,10,58,3,0.046875,0.266770072,7
0,10,73,3,0.046875,0.239372425,8
0,10,74,3,0.046875,0.627602607,0
0,10,112,3,0.046875,0.249521539,0
0,10,123,3,0.046875,0.368311659,0
0,10,5,2,0.03125,0.262987524,0
0,10,68,2,0.03125,0.179351993,0
0,10,78,2,0.03125,0.200604945,0
0,10,83,2,0.03125,0.22595115,0
0,10,105,2,0.03125,0.131624896,0
0,10,3,1,0.015625,0.096761569,0
0,10,39,1,0.015625,0.127081528,0
0,10,50,1,0.015625,0.113749504,0
0,10,80,1,0.015625,0.111371838,0
0,10,88,1,0.015625,0.103002109,0
0,10,90,1,0.015625,0.076932162,0
0,10,97,1,0.015625,0.091400288,0
0,10,99,1,0.015625,0.099833071,0
0,10,104,1,0.015625,0.092974849,0
0,10,113,1,0.015625,0.108698599,0
0,11,7,7,0.109375,0.919301748,1
0,11,21,6,0.09375,1.134523369,2
0,11,67,6,0.09375,0.74901741,3
0,11,82,5,0.078125,0.589547001,4
0,11,89,5,0.078125,0.640499249,5
0,11,61,4,0.0625,0.466680951,6
0,11,23,3,0.046875,0.693305068,7
0,11,26,3,0.046875,0.192689601,8
0,11,37,3,0.046875,0.246635288,0
0,11,49,3,0.046875,0.224008903,0
0,11,3,2,0.03125,0.165156402,0
0,11,28,2,0.03125,0.279704288,0
0,11,109,2,0.03125,0.248931795,0
0,11,125,2,0.03125,0.172404192,0
0,11,127,2,0.03125,0.238487177,0
0,11,18,1,0.015625,0.130543947,0
0,11,24,1,0.015625,0.055325035,0
0,11,30,1,0.015625,0.218619987,0
0,11,39,1,0.015625,0.076880001,0
0,11,58,1,0.015625,0.139353305,0
0,11,59,1,0.015625,0.098539755,0
0,11,63,1,0.015625,0.095776029,0
0,11,69,1,0.015625,0.093815751,0
0,11,96,1,0.015625,0.130253747,0
0,12,56,8,0.125,1.429809175,1
0,12,116,7,0.109375,0.831071731,2
0,12,65,6,0.09375,0.681973472,3
0,12,24,5,0.078125,0.753533401,4
0,12,79,5,0.078125,1.102609925,5
0,12,15,4,0.0625,0.343855217,6
0,12,9,3,0.046875,0.340980232,7
0,12,52,3,0.046875,0.408082485,8
0,12,96,3,0.046875,0.238706812,0
0,12,97,3,0.046875,0.282378942,0
0,12,107,3,0.046875,0.297387786,0
0,12,99,2,0.03125,0.106636006,0
0,12,119,2,0.03125,0.176447891,0
0,12,2,1,0.015625,0.065284818,0
0,12,17,1,0.015625,0.17136766,0
0,12,49,1,0.015625,0.08754956,0
0,12,85,1,0.015625,0.079302594,0
0,12,95,1,0.015625,0.083517917,0
0,12,100,1,0.015625,0.080948286,0
0,12,102,1,0.015625,0.273844749,0
0,12,105,1,0.015625,0.056233957,0
0,12,118,1,0.015625,0.055650502,0
0,12,124,1,0.015625,0.052826881,0
0,13,77,7,0.109375,1.151920442,1
0,13,104,6,0.09375,0.513053015,2
0,13,23,5,0.078125,0.567213275,3
0,13,42,5,0.078125,0.952736989,4
0,13,98,5,0.078125,0.496439137,5
0,13,6,4,0.0625,0.517944209,6
0,13,28,4,0.0625,0.414926477,7
0,13,26,3,0.046875,0.52303011,8
0,13,58,3,0.046875,0.217793144,0
0,13,66,3,0.046875,0.418714471,0
0,13,82,3,0.046875,0.413410403,0
0,13,0,2,0.03125,0.202892467,0
0,13,32,2,0.03125,0.256449774,0
0,13,64,2,0.03125,0.141131166,0
0,13,118,2,0.03125,0.490678117,0
0,13,11,1,0.015625,0.080221437,0
0,13,12,1,0.015625,0.105830178,0
0,13,15,1,0.015625,0.065344572,0
0,13,16,1,0.015625,0.094948977,0
0,13,78,1,0.015625,0.111376427,0
0,13,101,1,0.015625,0.100983858,0
0,13,103,1,0.015625,0.076585338,0
0,13,124,1,0.015625,0.086376019,0
0,14,90,6,0.09375,0.978327751,1
0,14,17,5,0.078125,0.502486371,2
0,14,48,5,0.078125,0.693874963,3
0,14,75,5,0.078125,0.645771444,4
0,14,88,5,0.078125,0.55093395,5
0,14,79,4,0.0625,0.700777933,6
0,14,100,4,0.0625,0.597858787,7
0,14,8,3,0.046875,0.502264768,8
0,14,10,3,0.046875,0.23445598,0
0,14,55,3,0.046875,0.275296852,0
0,14,107,3,0.046875,0.284361497,0
0,14,16,2,0.03125,0.2244763,0
0,14,80,2,0.03125,0.202084161,0
0,14,81,2,0.03125,0.25236338,0
0,14,93,2,0.03125,0.197638758,0
0,14,105,2,0.03125,0.232822493,0
0,14,5,1,0.015625,0.057490151,0
0,14,6,1,0.015625,0.153794706,0
0,14,27,1,0.015625,0.099334069,0
0,14,89,1,0.015625,0.117962122,0
0,14,95,1,0.015625,0.166291729,0
0,14,96,1,0.015625,0.095850632,0
0,14,102,1,0.015625,0.135723352,0
0,14,108,1,0.015625,0.097757854,0
0,15,10,8,0.125,1.846411742,1
0,15,59,8,0.125,1.020867988,2
0,15,70,7,0.109375,1.115760632,3
0,15,16,6,0.09375,0.512729127,4
0,15,85,4,0.0625,0.439795025,5
0,15,18,3,0.046875,0.297153603,6
0,15,120,3,0.046875,0.251198225,7
0,15,23,2,0.03125,0.131169468,8
0,15,49,2,0.03125,0.174370453,0
0,15,90,2,0.03125,0.253042713,0
0,15,91,2,0.03125,0.178581908,0
0,15,103,2,0.03125,0.148766339,0
0,15,123,2,0.03125,0.242946796,0
0,15,13,1,0.015625,0.068016551,0
0,15,22,1,0.015625,0.083335616,0
0,15,35,1,0.015625,0.091314398,0
0,15,56,1,0.015625,0.120053239,0
0,15,66,1,0.015625,0.091314398,0
0,15,69,1,0.015625,0.103304513,0
0,15,72,1,0.015625,0.076769397,0
0,15,76,1,0.015625,0.068404227,0
0,15,78,1,0.015625,0.103472762,0
0,15,82,1,0.015625,0.094213016,0
0,15,86,1,0.015625,0.318718523,0
0,15,87,1,0.015625,0.099374086,0
0,15,101,1,0.015625,0.068915255,0
0,16,73,6,0.09375,1.000205852,1
0,16,124,6,0.09375,0.827678382,2
0,16,103,5,0.078125,0.815965313,3
0,16,17,4,0.0625,0.596900441,4
0,16,84,4,0.0625,0.561575439,5
0,16,50,3,0.046875,0.320795782,6
0,16,55,3,0.046875,0.268294044,7
0,16,81,3,0.046875,0.332203723,8
0,16,83,3,0.046875,0.274656706,0
0,16,119,3,0.046875,0.35196238,0
0,16,7,2,0.03125,0.273705095,0
0,16,8,2,0.03125,0.253163882,0
0,16,87,2,0.03125,0.130341187,0
0,16,89,2,0.03125,0.140804075,0
0,16,97,2,0.03125,0.261924759,0
0,16,115,2,0.03125,0.345080391,0
0,16,12,1,0.015625,0.097049311,0
0,16,15,1,0.015625,0.070764802,0
0,16,18,1,0.015625,0.109961286,0
0,16,19,1,0.015625,0.094238132,0
0,16,22,1,0.015625,0.10960266,0
0,16,24,1,0.015625,0.083010919,0
0,16,39,1,0.015625,0.10960266,0
0,16,64,1,0.015625,0.098577619,0
0,16,65,1,0.015625,0.08179488,0
0,16,80,1,0.015625,0.103227332,0
0,16,105,1,0.015625,0.178656444,0
0,16,114,1,0.015625,0.108256504,0
0,17,18,7,0.109375,1.22756815,1
0,17,83,7,0.109375,1.016326539,2
0,17,21,5,0.078125,0.672991015,3
0,17,69,4,0.0625,0.680332467,4
0,17,78,4,0.0625,0.622615524,5
0,17,120,4,0.0625,0.368459284,6
0,17,55,3,0.046875,0.540671796,7
0,17,105,3,0.046875,0.294003747,8
0,17,116,3,0.046875,0.341194801,0
0,17,19,2,0.03125,0.227254152,0
0,17,42,2,0.03125,0.155838445,0
0,17,48,2,0.03125,0.121147536,0
0,17,103,2,0.03125,0.191428497,0
0,17,1,1,0.015625,0.055661909,0
0,17,2,1,0.015625,0.088824928,0
0,17,9,1,0.015625,0.114586569,0
0,17,17,1,0.015625,0.085153535,0
0,17,22,1,0.015625,0.072489798,0
0,17,35,1,0.015625,0.147132069,0
0,17,52,1,0.015625,0.147714466,0
0,17,56,1,0.015625,0.057845861,0
0,17,66,1,0.015625,0.087856568,0
0,17,71,1,0.015625,0.094553649,0
0,17,73,1,0.015625,0.07596866,0
0,17,79,1,0.015625,0.045429956,0
0,17,82,1,0.015625,0.053949375,0
0,17,91,1,0.015625,0.206524134,0
0,17,102,1,0.015625,0.10933926,0
