step,layer,active_experts,runtime_gpu_prefix,oracle_gpu_prefix,prefix_match,prefix_delta,prediction_extrapolated,runtime_predicted_objective_us,runtime_selected_actual_objective_us,oracle_objective_us,regret_us,regret_percent
2,46,34,13,13,True,0,False,61.353313856,61.265329855999994,61.265329855999994,0.0,0.0
2,47,31,13,13,True,0,False,61.35750816,61.28231616,61.28231616,0.0,0.0
3,0,36,15,15,True,0,False,67.292790336,67.19388633599999,67.19388633599999,0.0,0.0
3,1,34,12,12,True,0,False,58.37728416,58.28399616,58.28399616,0.0,0.0
3,2,31,12,12,True,0,False,58.37728416,58.28399616,58.28399616,0.0,0.0
3,3,29,11,11,True,0,False,56.970752000000005,56.97356,56.97356,0.0,0.0
3,4,35,13,13,True,0,False,61.353313856,61.265329855999994,61.265329855999994,0.0,0.0
3,5,33,12,12,True,0,False,58.381478464000004,58.345286464,58.345286464,0.0,0.0
3,6,40,14,14,True,0,False,64.320954944,64.23702694400001,64.23702694400001,0.0,0.0
3,7,38,13,13,True,0,False,61.349119552000005,61.376263552000005,61.376263552000005,0.0,0.0
3,8,33,11,11,True,0,False,55.40544876800001,55.369568768,55.369568768,0.0,0.0
3,9,34,12,12,True,0,False,58.37728416,58.28399616,58.28399616,0.0,0.0
3,10,34,13,13,True,0,False,61.353313856,61.265329855999994,61.265329855999994,0.0,0.0
3,11,31,12,12,True,0,False,58.37728416,58.28399616,58.28399616,0.0,0.0
3,12,35,12,12,True,0,False,58.381478464000004,58.345286464,58.345286464,0.0,0.0
3,13,32,12,12,True,0,False,58.381478464000004,58.345286464,58.345286464,0.0,0.0
3,14,31,12,12,True,0,False,58.509848000000005,58.531064,58.531064,0.0,0.0
3,15,37,13,13,True,0,False,61.353313856,61.265329855999994,61.265329855999994,0.0,0.0
3,16,41,14,14,True,0,False,64.325149248,64.30018924800001,64.30018924800001,0.0,0.0
3,17,36,12,12,True,0,False,60.048944000000006,60.051752,60.051752,0.0,0.0
3,18,39,13,13,True,0,False,61.349119552000005,61.376263552000005,61.376263552000005,0.0,0.0
3,19,38,13,13,True,0,False,61.353313856,61.265329855999994,61.265329855999994,0.0,0.0
3,20,35,12,12,True,0,False,58.509848000000005,58.531064,58.531064,0.0,0.0
3,21,37,12,12,True,0,False,60.048944000000006,60.051752,60.051752,0.0,0.0
3,22,36,13,13,True,0,False,61.353313856,61.265329855999994,61.265329855999994,0.0,0.0
3,23,33,13,13,True,0,False,61.353313856,61.265329855999994,61.265329855999994,0.0,0.0
3,24,40,14,14,True,0,False,64.325149248,64.30018924800001,64.30018924800001,0.0,0.0
3,25,32,11,11,True,0,False,56.970752000000005,56.97356,56.97356,0.0,0.0
3,26,37,12,12,True,0,False,60.048944000000006,60.051752,60.051752,0.0,0.0
3,27,40,14,14,True,0,False,64.320954944,64.23702694400001,64.23702694400001,0.0,0.0
3,28,43,14,14,True,0,False,64.66623200000001,64.68776,64.68776,0.0,0.0
3,29,38,13,13,True,0,False,61.353313856,61.265329855999994,61.265329855999994,0.0,0.0
