step,layer,expert,assignment_count,normalized_assignment_share,routing_weight_sum,hot_rank
0,46,110,8,0.125,0.852450013,8
0,47,38,8,0.125,0.844362766,1
0,47,46,8,0.125,1.03660734,2
0,47,58,8,0.125,1.207132638,3
0,47,65,8,0.125,0.989047408,4
0,47,72,8,0.125,0.76283621,5
0,47,79,8,0.125,1.049005449,6
0,47,110,8,0.125,1.359985068,7
0,47,54,7,0.109375,0.65923959,8
0,47,108,1,0.015625,0.091783531,0
1,0,17,8,0.125,1.710661173,1
1,0,29,8,0.125,0.659519002,2
1,0,54,8,0.125,0.680453971,3
1,0,62,8,0.125,0.833709657,4
1,0,79,8,0.125,0.771055415,5
1,0,86,8,0.125,1.03756845,6
1,0,105,8,0.125,0.820784166,7
1,0,112,8,0.125,1.486248165,8
1,1,6,8,0.125,1.124180421,1
1,1,8,8,0.125,1.244380385,2
1,1,28,8,0.125,0.703494132,3
1,1,68,8,0.125,0.931978218,4
1,1,90,8,0.125,1.661430895,5
1,1,101,8,0.125,0.94665473,6
1,1,104,8,0.125,0.650625736,7
1,1,105,8,0.125,0.737255484,8
1,2,44,8,0.125,0.907791078,1
1,2,46,8,0.125,0.517243795,2
1,2,56,8,0.125,1.051020607,3
1,2,71,8,0.125,1.14755547,4
1,2,72,8,0.125,2.79892683,5
1,2,76,8,0.125,0.523353897,6
1,2,94,8,0.125,0.604719251,7
1,2,115,8,0.125,0.44938907,8
1,3,29,8,0.125,0.951459162,1
1,3,37,8,0.125,1.191057429,2
1,3,56,8,0.125,0.993228666,3
1,3,71,8,0.125,1.051104486,4
1,3,95,8,0.125,0.836382404,5
1,3,114,8,0.125,0.968330257,6
1,3,117,8,0.125,1.138739735,7
1,3,118,8,0.125,0.869697861,8
1,4,6,8,0.125,0.876579806,1
1,4,12,8,0.125,1.584190354,2
1,4,14,8,0.125,0.841361761,3
1,4,43,8,0.125,1.043005288,4
1,4,82,8,0.125,0.857963547,5
1,4,107,8,0.125,0.966516569,6
1,4,108,8,0.125,1.022830158,7
1,4,127,8,0.125,0.807552516,8
1,5,4,8,0.125,1.261487305,1
1,5,6,8,0.125,0.882300414,2
1,5,46,8,0.125,0.84848386,3
1,5,53,8,0.125,0.965235017,4
1,5,63,8,0.125,0.931877278,5
1,5,65,8,0.125,1.434910268,6
1,5,73,8,0.125,0.830476016,7
1,5,85,8,0.125,0.845229842,8
1,6,22,8,0.125,0.926090255,1
1,6,32,8,0.125,0.961147159,2
1,6,33,8,0.125,1.17068772,3
1,6,39,8,0.125,0.895849161,4
1,6,49,8,0.125,0.863236301,5
1,6,74,8,0.125,1.123647779,6
1,6,82,8,0.125,1.063846856,7
1,6,101,8,0.125,0.995494768,8
1,7,15,8,0.125,1.175978869,1
1,7,19,8,0.125,1.276497558,2
1,7,24,8,0.125,0.837167621,3
1,7,29,8,0.125,0.830647767,4
1,7,44,8,0.125,0.885940142,5
1,7,63,8,0.125,1.117750511,6
1,7,114,8,0.125,1.058253646,7
1,7,56,4,0.0625,0.406726643,8
1,7,115,4,0.0625,0.411037244,0
1,8,22,8,0.125,0.999663889,1
1,8,23,8,0.125,1.157398269,2
1,8,54,8,0.125,1.095835671,3
1,8,68,8,0.125,1.324304923,4
1,8,85,8,0.125,0.929960333,5
1,8,45,7,0.109375,0.719093338,6
1,8,78,7,0.109375,0.731306367,7
1,8,117,7,0.109375,0.732649311,8
1,8,97,3,0.046875,0.309787899,0
1,9,0,8,0.125,1.275434062,1
1,9,2,8,0.125,0.79332944,2
1,9,23,8,0.125,0.829792239,3
1,9,26,8,0.125,1.251150325,4
1,9,39,8,0.125,0.807779126,5
1,9,63,8,0.125,0.793444514,6
1,9,82,8,0.125,1.389581501,7
1,9,95,8,0.125,0.859488793,8
1,10,1,8,0.125,0.920288377,1
1,10,6,8,0.125,1.307996154,2
1,10,19,8,0.125,0.936610103,3
1,10,36,8,0.125,1.01466924,4
1,10,43,8,0.125,0.918523312,5
1,10,48,8,0.125,0.958843179,6
1,10,84,8,0.125,0.833012432,7
1,10,92,8,0.125,1.110057205,8
1,11,14,8,0.125,0.769922331,1
1,11,15,8,0.125,0.71767009,2
1,11,17,8,0.125,0.97911045,3
1,11,48,8,0.125,1.396975547,4
1,11,62,8,0.125,1.113709077,5
1,11,81,8,0.125,1.254626691,6
1,11,120,8,0.125,0.785165392,7
1,11,121,8,0.125,0.982820421,8
1,12,11,8,0.125,1.360374525,1
1,12,18,8,0.125,1.285455629,2
1,12,39,8,0.125,0.874901704,3
1,12,41,8,0.125,1.123360425,4
1,12,92,8,0.125,0.933166236,5
1,12,106,8,0.125,0.812294886,6
1,12,19,7,0.109375,0.707854547,7
1,12,111,5,0.078125,0.4991289,8
1,12,112,4,0.0625,0.403463148,0
1,13,1,8,0.125,2.163873881,1
1,13,13,8,0.125,0.92516616,2
1,13,27,8,0.125,0.926996015,3
1,13,34,8,0.125,0.761034355,4
1,13,91,8,0.125,0.759650245,5
1,13,92,8,0.125,0.763999291,6
1,13,104,8,0.125,0.939711817,7
1,13,117,8,0.125,0.759568237,8
1,14,2,8,0.125,1.361079589,1
1,14,5,8,0.125,1.053799674,2
1,14,30,8,0.125,0.798555903,3
1,14,61,8,0.125,1.007496543,4
1,14,97,8,0.125,0.896100856,5
1,14,109,8,0.125,1.085166201,6
1,14,113,8,0.125,0.997687653,7
1,14,19,5,0.078125,0.500735424,8
1,14,14,3,0.046875,0.299378157,0
1,15,14,8,0.125,0.922700241,1
1,15,50,8,0.125,0.820682056,2
1,15,58,8,0.125,1.296307802,3
1,15,63,8,0.125,1.248891354,4
1,15,84,8,0.125,1.261445299,5
1,15,125,8,0.125,0.846689187,6
1,15,127,8,0.125,0.836840846,7
1,15,75,5,0.078125,0.479131624,8
1,15,26,3,0.046875,0.287311591,0
1,16,42,8,0.125,1.024877667,1
1,16,48,8,0.125,1.300836697,2
1,16,91,8,0.125,0.885348961,3
1,16,97,8,0.125,0.993345514,4
1,16,107,8,0.125,0.785864443,5
1,16,116,8,0.125,0.85134346,6
1,16,122,8,0.125,1.398221657,7
1,16,93,6,0.09375,0.57229016,8
1,16,70,2,0.03125,0.187871441,0
1,17,3,8,0.125,0.797096767,1
1,17,30,8,0.125,0.766480006,2
1,17,73,8,0.125,0.786215872,3
1,17,80,8,0.125,1.16875805,4
1,17,94,8,0.125,1.208244905,5
1,17,122,8,0.125,1.536287218,6
1,17,124,8,0.125,0.982314028,7
1,17,123,7,0.109375,0.660186507,8
1,17,70,1,0.015625,0.094416648,0
1,18,20,8,0.125,0.844840899,1
1,18,32,8,0.125,0.981847726,2
1,18,33,8,0.125,0.854709961,3
1,18,58,8,0.125,0.929614134,4
1,18,74,8,0.125,0.962933362,5
1,18,82,8,0.125,0.915199153,6
1,18,112,8,0.125,1.693647102,7
1,18,101,7,0.109375,0.714340597,8
1,18,104,1,0.015625,0.102867067,0
1,19,15,8,0.125,0.903417528,1
1,19,28,8,0.125,1.031696975,2
1,19,29,8,0.125,0.939396575,3
1,19,52,8,0.125,1.104801372,4
1,19,56,8,0.125,0.969476007,5
1,19,63,8,0.125,1.126624137,6
1,19,114,8,0.125,1.031730264,7
1,19,92,4,0.0625,0.447149016,8
1,19,11,2,0.03125,0.224333227,0
