gpu_prefix_length,gpu_experts,gpu_tokens,pim_tokens,gpu_memory_us,gpu_compute_us,gpu_path_us,pim_path_us,scheduler_us,objective_us,step,layer,selected
8,32;33;58;74;82;104;112;126,64,0,23.288616,3.268435456,26.557051456,0.0,20.0,46.557051456,1,18,True
10,10;28;29;32;44;52;56;63;75;92,64,0,29.249064,3.268435456,32.517499456,0.0,20.0,52.517499456,1,19,True
9,0;45;48;76;85;92;114;123;124,64,0,26.303784,3.268435456,29.572219456,0.0,20.0,49.572219456,1,20,True
9,2;6;11;13;32;38;39;44;63,64,0,26.303784,3.268435456,29.572219456,0.0,20.0,49.572219456,1,21,True
9,1;12;36;42;48;71;75;89;122,64,0,26.303784,3.268435456,29.572219456,0.0,20.0,49.572219456,1,22,True
9,4;14;31;36;62;65;76;108;117,64,0,26.303784,3.268435456,29.572219456,0.0,20.0,49.572219456,1,23,True
8,11;18;19;20;28;57;59;108,64,0,23.288616,3.268435456,26.557051456,0.0,20.0,46.557051456,1,24,True
8,13;34;50;52;72;84;87;110,64,0,23.288616,3.268435456,26.557051456,0.0,20.0,46.557051456,1,25,True
8,5;24;27;59;72;91;97;113,64,0,23.288616,3.268435456,26.557051456,0.0,20.0,46.557051456,1,26,True
8,15;63;64;79;84;111;118;122,64,0,23.288616,3.268435456,26.557051456,0.0,20.0,46.557051456,1,27,True
10,6;11;42;70;91;97;98;107;116;122,64,0,29.249064,3.268435456,32.517499456,0.0,20.0,52.517499456,1,28,True
8,13;37;46;70;94;105;120;124,64,0,23.288616,3.268435456,26.557051456,0.0,20.0,46.557051456,1,29,True
9,6;25;33;39;48;58;74;82;98,64,0,26.303784,3.268435456,29.572219456,0.0,20.0,49.572219456,1,30,True
11,2;10;24;28;29;36;41;44;59;63;115,64,0,32.264232,3.268435456,35.532667456,0.0,20.0,55.532667456,1,31,True
9,0;10;48;72;85;90;108;113;124,64,0,26.303784,3.268435456,29.572219456,0.0,20.0,49.572219456,1,32,True
9,2;6;13;32;38;39;53;63;115,64,0,26.303784,3.268435456,29.572219456,0.0,20.0,49.572219456,1,33,True
8,1;5;29;35;36;42;75;89,64,0,23.288616,3.268435456,26.557051456,0.0,20.0,46.557051456,1,34,True
10,6;17;31;32;36;62;104;110;117;120,64,0,29.249064,3.268435456,32.517499456,0.0,20.0,52.517499456,1,35,True
9,11;18;19;20;28;57;59;62;101,64,0,26.303784,3.268435456,29.572219456,0.0,20.0,49.572219456,1,36,True
8,2;13;27;50;82;84;91;110,64,0,23.288616,3.268435456,26.557051456,0.0,20.0,46.557051456,1,37,True
10,2;16;24;27;91;102;108;109;110;113,64,0,29.249064,3.268435456,32.517499456,0.0,20.0,52.517499456,1,38,True
9,5;14;16;48;58;63;72;84;118,64,0,26.303784,3.268435456,29.572219456,0.0,20.0,49.572219456,1,39,True
8,11;48;69;70;91;97;98;122,64,0,23.288616,3.268435456,26.557051456,0.0,20.0,46.557051456,1,40,True
9,37;46;80;81;94;105;116;123;124,64,0,26.303784,3.268435456,29.572219456,0.0,20.0,49.572219456,1,41,True
9,0;14;30;58;60;63;70;76;109,64,0,26.303784,3.268435456,29.572219456,0.0,20.0,49.572219456,1,42,True
9,11;18;45;51;56;80;96;98;99,64,0,26.303784,3.268435456,29.572219456,0.0,20.0,49.572219456,1,43,True
9,2;7;12;15;79;99;103;104;119,64,0,26.303784,3.268435456,29.572219456,0.0,20.0,49.572219456,1,44,True
10,1;4;13;16;36;53;58;76;77;92,64,0,29.249064,3.268435456,32.517499456,0.0,20.0,52.517499456,1,45,True
9,4;13;29;40;42;46;48;81;102,64,0,26.303784,3.268435456,29.572219456,0.0,20.0,49.572219456,1,46,True
10,10;41;46;51;58;67;71;83;108;110,64,0,29.249064,3.268435456,32.517499456,0.0,20.0,52.517499456,1,47,True
8,23;66;70;77;86;87;91;112,64,0,23.288616,3.268435456,26.557051456,0.0,20.0,46.557051456,2,0,True
8,13;14;29;78;86;101;104;107,64,0,23.288616,3.268435456,26.557051456,0.0,20.0,46.557051456,2,1,True
8,15;23;56;64;71;72;115;119,64,0,23.288616,3.268435456,26.557051456,0.0,20.0,46.557051456,2,2,True
8,23;46;53;56;80;90;117;119,64,0,23.288616,3.268435456,26.557051456,0.0,20.0,46.557051456,2,3,True
8,12;19;64;65;93;108;110;127,64,0,23.288616,3.268435456,26.557051456,0.0,20.0,46.557051456,2,4,True
8,4;41;45;46;53;63;65;120,64,0,23.288616,3.268435456,26.557051456,0.0,20.0,46.557051456,2,5,True
9,22;33;49;58;74;82;101;116;121,64,0,26.303784,3.268435456,29.572219456,0.0,20.0,49.572219456,2,6,True
8,15;19;24;29;44;52;63;114,64,0,23.288616,3.268435456,26.557051456,0.0,20.0,46.557051456,2,7,True
8,22;45;68;85;92;97;123;124,64,0,23.288616,3.268435456,26.557051456,0.0,20.0,46.557051456,2,8,True
8,6;13;23;38;44;67;69;92,64,0,23.288616,3.268435456,26.557051456,0.0,20.0,46.557051456,2,9,True
8,0;1;5;19;36;42;48;92,64,0,23.288616,3.268435456,26.557051456,0.0,20.0,46.557051456,2,10,True
8,14;15;17;52;62;81;110;121,64,0,23.288616,3.268435456,26.557051456,0.0,20.0,46.557051456,2,11,True
9,11;18;27;37;41;57;85;106;125,64,0,26.303784,3.268435456,29.572219456,0.0,20.0,49.572219456,2,12,True
8,20;33;37;52;92;93;104;110,64,0,23.288616,3.268435456,26.557051456,0.0,20.0,46.557051456,2,13,True
8,2;5;9;24;29;61;92;109,64,0,23.288616,3.268435456,26.557051456,0.0,20.0,46.557051456,2,14,True
8,0;2;51;58;79;84;122;127,64,0,23.288616,3.268435456,26.557051456,0.0,20.0,46.557051456,2,15,True
8,23;42;48;91;93;97;98;122,64,0,23.288616,3.268435456,26.557051456,0.0,20.0,46.557051456,2,16,True
8,70;73;80;90;116;122;123;124,64,0,23.288616,3.268435456,26.557051456,0.0,20.0,46.557051456,2,17,True
8,25;58;74;82;91;107;112;126,64,0,23.288616,3.268435456,26.557051456,0.0,20.0,46.557051456,2,18,True
8,15;28;29;52;56;92;102;114,64,0,23.288616,3.268435456,26.557051456,0.0,20.0,46.557051456,2,19,True
8,45;68;72;76;85;92;114;123,64,0,23.288616,3.268435456,26.557051456,0.0,20.0,46.557051456,2,20,True
8,2;32;38;44;51;56;63;67,64,0,23.288616,3.268435456,26.557051456,0.0,20.0,46.557051456,2,21,True
8,0;1;36;42;48;71;75;77,64,0,23.288616,3.268435456,26.557051456,0.0,20.0,46.557051456,2,22,True
8,6;14;15;17;31;36;110;121,64,0,23.288616,3.268435456,26.557051456,0.0,20.0,46.557051456,2,23,True
8,11;18;28;37;62;101;106;125,64,0,23.288616,3.268435456,26.557051456,0.0,20.0,46.557051456,2,24,True
9,37;52;53;72;84;91;110;122;126,64,0,26.303784,3.268435456,29.572219456,0.0,20.0,49.572219456,2,25,True
8,5;9;24;29;72;87;97;109,64,0,23.288616,3.268435456,26.557051456,0.0,20.0,46.557051456,2,26,True
9,2;14;24;33;51;84;99;102;118,64,0,26.303784,3.268435456,29.572219456,0.0,20.0,49.572219456,2,27,True
9,23;42;48;63;70;91;97;107;122,64,0,26.303784,3.268435456,29.572219456,0.0,20.0,49.572219456,2,28,True
8,13;14;34;37;51;70;120;124,64,0,23.288616,3.268435456,26.557051456,0.0,20.0,46.557051456,2,29,True
10,6;25;33;39;48;58;79;82;94;107,64,0,29.249064,3.268435456,32.517499456,0.0,20.0,52.517499456,2,30,True
9,24;28;29;38;39;59;63;87;115,64,0,26.303784,3.268435456,29.572219456,0.0,20.0,49.572219456,2,31,True
9,5;6;18;24;48;51;72;85;124,64,0,26.303784,3.268435456,29.572219456,0.0,20.0,49.572219456,2,32,True
9,6;13;38;44;53;56;63;67;115,64,0,26.303784,3.268435456,29.572219456,0.0,20.0,49.572219456,2,33,True
9,1;5;35;36;42;70;75;77;92,64,0,26.303784,3.268435456,29.572219456,0.0,20.0,49.572219456,2,34,True
10,6;15;17;28;31;48;62;77;87;110,64,0,29.249064,3.268435456,32.517499456,0.0,20.0,52.517499456,2,35,True
9,11;18;37;57;62;85;101;106;125,64,0,26.303784,3.268435456,29.572219456,0.0,20.0,49.572219456,2,36,True
8,13;27;36;37;72;82;91;110,64,0,23.288616,3.268435456,26.557051456,0.0,20.0,46.557051456,2,37,True
10,2;5;9;24;29;62;72;97;109;110,64,0,29.249064,3.268435456,32.517499456,0.0,20.0,52.517499456,2,38,True
