variant,shape_key,shape,total_completion_us,baseline_total_completion_us,delta_total_completion_us,gpu_accepted_to_column_issue_mean_us,kv_accepted_to_column_issue_mean_us,gpu_injection_rejected_attempts,kv_injection_rejected_attempts
baseline-rb256-dual,a57657f8f60627c0b42bc8893efddef5de1d5c4d963625a8d6ddb8a4c5765bb1,"{""gpu_read_transactions"": 1179648, ""kv_read_transactions"": 0, ""pim_gwrite_waves"": 4096, ""pim_mac_waves"": 1536, ""pim_read_waves"": 16}",49.28508,49.28508,0.0,0.31299087760416666,0.0,5658112,0
baseline-rb256-dual,a69e6d5251ebb1936b42ad0ed5eac084d5e705c93ce4529f6ca527bd16cca2ce,"{""gpu_read_transactions"": 2064384, ""kv_read_transactions"": 8388608, ""pim_gwrite_waves"": 1024, ""pim_mac_waves"": 384, ""pim_read_waves"": 4}",104.280384,104.280384,0.0,0.3177755788690476,0.33415464221191404,10831104,42949376
baseline-rb256-dual,a6fb6210aaef4eefd3cf865a407e648d37fa1dce41ab0a5618cb76989bc07b14,"{""gpu_read_transactions"": 0, ""kv_read_transactions"": 4194304, ""pim_gwrite_waves"": 0, ""pim_mac_waves"": 0, ""pim_read_waves"": 0}",41.860104,41.860104,0.0,0.0,0.3283321926269531,0,21390848
baseline-rb256-dual,c2804e40610e68d4510163daa20ec4d6ef40aa53468413b1aed624dbbe747444,"{""gpu_read_transactions"": 1179648, ""kv_read_transactions"": 4194304, ""pim_gwrite_waves"": 4096, ""pim_mac_waves"": 1536, ""pim_read_waves"": 16}",53.350752,53.350752,0.0,0.31011550781249997,0.3343011921386719,11250560,16194048
baseline-rb256-dual,c3898dba0eadc0cc0f7933a1ff3a0c21b9bb856f4cdb0894aa3710cfa4930c34,"{""gpu_read_transactions"": 0, ""kv_read_transactions"": 8388608, ""pim_gwrite_waves"": 0, ""pim_mac_waves"": 0, ""pim_read_waves"": 0}",84.240936,84.240936,0.0,0.0,0.33113111389160155,0,43291904
baseline-rb256-dual,cc5fa2d380d97dda182ca3a78f37d544a336823837d178ae929ee4c6cd5711c3,"{""gpu_read_transactions"": 2064384, ""kv_read_transactions"": 8388608, ""pim_gwrite_waves"": 2048, ""pim_mac_waves"": 768, ""pim_read_waves"": 8}",103.918152,103.918152,0.0,0.314688775297619,0.3335631104736328,10588416,43084672
baseline-rb256-dual,cdcaff2fdb04a5fd6014e8c0bdd542bbe1943c614df1ba1d737f25dbeb4bf2a9,"{""gpu_read_transactions"": 2359296, ""kv_read_transactions"": 2097152, ""pim_gwrite_waves"": 0, ""pim_mac_waves"": 0, ""pim_read_waves"": 0}",43.688112,43.688112,0.0,0.31920325260416665,0.335244609375,11839744,10590336
baseline-rb256-dual,cdf700c1a76b5dbd55ae7847ef3095b4b4175691e5eb606f84bace92efe889c5,"{""gpu_read_transactions"": 1179648, ""kv_read_transactions"": 8388608, ""pim_gwrite_waves"": 8192, ""pim_mac_waves"": 3072, ""pim_read_waves"": 32}",98.559552,98.559552,0.0,0.30814509375000004,0.33457678674316405,15931776,33453056
baseline-rb256-dual,f6613ee99fd29306ac38ed1dfcddb7a9f4a11b218a49024de13b5a74d1e87881,"{""gpu_read_transactions"": 2064384, ""kv_read_transactions"": 0, ""pim_gwrite_waves"": 1024, ""pim_mac_waves"": 384, ""pim_read_waves"": 4}",20.298408,20.298408,0.0,0.3218815476190476,0.0,10291840,0
rb128-dual,086651f43deeb27c329b73ea5fdb2636c7cd239593e7acc1b658e39600fd7639,"{""gpu_read_transactions"": 0, ""kv_read_transactions"": 2097152, ""pim_gwrite_waves"": 0, ""pim_mac_waves"": 0, ""pim_read_waves"": 0}",20.87124,20.662824,0.2084159999999997,0.0,0.16392448388671876,0,10664704
rb128-dual,0fc462e51034129a5d92c1202114715804695f13840a57af0c1faec0550e2aea,"{""gpu_read_transactions"": 2064384, ""kv_read_transactions"": 2097152, ""pim_gwrite_waves"": 1024, ""pim_mac_waves"": 384, ""pim_read_waves"": 4}",41.817048,40.710072,1.106976000000003,0.16393000000000002,0.17920242919921875,10228864,11524608
rb128-dual,1b902657bc662f98c6776b4b7fe03d29366b5b588b8ce1d2b751943a5efed8a8,"{""gpu_read_transactions"": 2359296, ""kv_read_transactions"": 8388608, ""pim_gwrite_waves"": 0, ""pim_mac_waves"": 0, ""pim_read_waves"": 0}",108.311736,107.276208,1.0355279999999993,0.1646280390625,0.17043929772949218,26298496,29773184
rb128-dual,48b0cab302207be90ff4dae6f2bbb9fae82174adf9934ab09d10a3dc970f7903,"{""gpu_read_transactions"": 1179648, ""kv_read_transactions"": 2097152, ""pim_gwrite_waves"": 4096, ""pim_mac_waves"": 1536, ""pim_read_waves"": 16}",49.313472,49.301928,0.011544000000000665,0.16328605989583334,0.173697697265625,6643968,10359296
rb128-dual,52ccb710699d573f717b10f9f89d0a7e6287c632dfb3e3159a64e267549eee5f,"{""gpu_read_transactions"": 2359296, ""kv_read_transactions"": 0, ""pim_gwrite_waves"": 0, ""pim_mac_waves"": 0, ""pim_read_waves"": 0}",23.49204,23.288616,0.20342399999999827,0.1640547356770833,0.0,12015360,0
