gpu_prefix_length,gpu_experts,gpu_tokens,pim_tokens,gpu_memory_us,gpu_compute_us,gpu_path_us,pim_path_us,scheduler_us,objective_us,isolation_available,step,layer,selected
1,18,8,56,2.461056,3.033554432,5.494610432,86.22276,20.0,106.22276,True,0,2,False
2,18;49,16,48,5.406336,3.067108864,8.473444864,73.909992,20.0,93.909992,True,0,2,False
3,18;49;53,24,40,8.421504,3.100663296,11.522167296,61.597224,20.0,81.597224,True,0,2,False
4,18;49;53;62,32,32,11.37396,3.134217728,14.508177728,49.28508,20.0,69.28508,True,0,2,False
5,18;49;53;62;72,40,24,14.41128,3.16777216,17.57905216,36.972624,20.0,56.972624,True,0,2,False
6,18;49;53;62;72;82,48,16,17.33004,3.201326592,20.531366592,24.660792,20.0,44.660792,True,0,2,False
7,18;49;53;62;72;82;88,56,8,20.298408,3.234881024,23.533289024,12.347712,20.0,43.533289024,True,0,2,True
8,18;49;53;62;72;82;88;123,64,0,23.288616,3.268435456,26.557051456,0.0,20.0,46.557051456,True,0,2,False
0,,0,64,0.0,0.0,0.0,98.534592,20.0,118.534592,True,0,3,False
1,51,8,56,2.461056,3.033554432,5.494610432,86.22276,20.0,106.22276,True,0,3,False
2,51;56,16,48,5.406336,3.067108864,8.473444864,73.909992,20.0,93.909992,True,0,3,False
3,51;56;67,24,40,8.421504,3.100663296,11.522167296,61.597224,20.0,81.597224,True,0,3,False
4,51;56;67;71,32,32,11.37396,3.134217728,14.508177728,49.28508,20.0,69.28508,True,0,3,False
5,51;56;67;71;87,40,24,14.41128,3.16777216,17.57905216,36.972624,20.0,56.972624,True,0,3,False
6,51;56;67;71;87;101,48,16,17.33004,3.201326592,20.531366592,24.660792,20.0,44.660792,True,0,3,False
7,51;56;67;71;87;101;108,56,8,20.298408,3.234881024,23.533289024,12.347712,20.0,43.533289024,True,0,3,True
8,51;56;67;71;87;101;108;114,64,0,23.288616,3.268435456,26.557051456,0.0,20.0,46.557051456,True,0,3,False
0,,0,64,0.0,0.0,0.0,98.534592,20.0,118.534592,True,0,4,False
1,12,8,56,2.461056,3.033554432,5.494610432,86.22276,20.0,106.22276,True,0,4,False
2,12;43,16,48,5.406336,3.067108864,8.473444864,73.909992,20.0,93.909992,True,0,4,False
3,12;43;64,24,40,8.421504,3.100663296,11.522167296,61.597224,20.0,81.597224,True,0,4,False
4,12;43;64;100,32,32,11.37396,3.134217728,14.508177728,49.28508,20.0,69.28508,True,0,4,False
5,12;43;64;100;107,40,24,14.41128,3.16777216,17.57905216,36.972624,20.0,56.972624,True,0,4,False
6,12;43;64;100;107;108,48,16,17.33004,3.201326592,20.531366592,24.660792,20.0,44.660792,True,0,4,False
7,12;43;64;100;107;108;114,56,8,20.298408,3.234881024,23.533289024,12.347712,20.0,43.533289024,True,0,4,True
8,12;43;64;100;107;108;114;127,61,3,23.247432,3.255852544,26.503284544,4.670016,20.0,46.503284544,True,0,4,False
9,12;43;64;65;100;107;108;114;127,64,0,26.303784,3.268435456,29.572219456,0.0,20.0,49.572219456,True,0,4,False
0,,0,64,0.0,0.0,0.0,98.534592,20.0,118.534592,True,0,5,False
1,32,8,56,2.461056,3.033554432,5.494610432,86.22276,20.0,106.22276,True,0,5,False
2,32;46,16,48,5.406336,3.067108864,8.473444864,73.909992,20.0,93.909992,True,0,5,False
3,32;46;53,24,40,8.421504,3.100663296,11.522167296,61.597224,20.0,81.597224,True,0,5,False
4,32;46;53;65,32,32,11.37396,3.134217728,14.508177728,49.28508,20.0,69.28508,True,0,5,False
5,32;46;53;65;94,40,24,14.41128,3.16777216,17.57905216,36.972624,20.0,56.972624,True,0,5,False
6,32;46;53;65;94;104,48,16,17.33004,3.201326592,20.531366592,24.660792,20.0,44.660792,True,0,5,False
7,32;46;53;65;94;104;106,56,8,20.298408,3.234881024,23.533289024,12.347712,20.0,43.533289024,True,0,5,True
8,32;46;53;65;73;94;104;106,62,2,23.24868,3.260046848,26.508726848,3.112512,20.0,46.508726848,True,0,5,False
9,20;32;46;53;65;73;94;104;106,63,1,26.291616,3.264241152,29.555857152,1.591512,20.0,49.555857152,True,0,5,False
10,20;32;46;53;65;73;94;104;106;120,64,0,29.249064,3.268435456,32.517499456,0.0,20.0,52.517499456,True,0,5,False
0,,0,64,0.0,0.0,0.0,98.534592,20.0,118.534592,True,0,6,False
