case,policy,layer,batch_size,context_length,request_scale,capacity_state,layer_start_us,layer_end_us,layer_span_us,attention_latency_us,local_kv_latency_us,cxl_kv_latency_us,attention_critical_path_us,expert_critical_path_us,cxl_critical_path_us,gpu_request_completion_us,local_kv_request_completion_us,cxl_kv_request_completion_us,pim_request_completion_us,cxl_queue_wait_us_all_requests,cxl_link_busy_ratio
b8_c32k,sieve,29,8,32768,4096,spill,14783.955804223964,15293.747383679962,509.79157945599763,470.56204799999995,0.094536,0.8424,470.56204799999995,3.3180434560000003,0.0,0.049608,0.094536,0.8424,0.0,298.850136,0.7045370370370371
b8_c32k,sieve,30,8,32768,4096,spill,15293.747383679962,15803.53896313596,509.79157945599763,470.56204799999995,0.094536,0.8424,470.56204799999995,3.3180434560000003,0.0,0.049608,0.094536,0.8424,0.0,298.850136,0.7045370370370371
b8_c32k,sieve,31,8,32768,4096,spill,15803.53896313596,16313.330542591957,509.79157945599763,470.56204799999995,0.094536,0.8424,470.56204799999995,3.3180434560000003,0.0,0.049608,0.094536,0.8424,0.0,298.850136,0.7045370370370371
b8_c32k,sieve,32,8,32768,4096,spill,16313.330542591957,16823.122122047967,509.79157945601037,470.56204799999995,0.094536,0.8424,470.56204799999995,3.3180434560000003,0.0,0.049608,0.094536,0.8424,0.0,298.850136,0.7045370370370371
b8_c32k,sieve,33,8,32768,4096,spill,16823.122122047967,17332.913701503978,509.79157945601037,470.56204799999995,0.094536,0.8424,470.56204799999995,3.3180434560000003,0.0,0.049608,0.094536,0.8424,0.0,298.850136,0.7045370370370371
b8_c32k,sieve,34,8,32768,4096,spill,17332.913701503978,17842.705280959988,509.79157945601037,470.56204799999995,0.094536,0.8424,470.56204799999995,3.3180434560000003,0.0,0.049608,0.094536,0.8424,0.0,298.850136,0.7045370370370371
b8_c32k,sieve,35,8,32768,4096,spill,17842.705280959988,18352.496860416,509.79157945601037,470.56204799999995,0.094536,0.8424,470.56204799999995,3.3180434560000003,0.0,0.049608,0.094536,0.8424,0.0,298.850136,0.7045370370370371
b8_c32k,sieve,36,8,32768,4096,spill,18352.496860416,18862.28843987201,509.79157945601037,470.56204799999995,0.094536,0.8424,470.56204799999995,3.3180434560000003,0.0,0.049608,0.094536,0.8424,0.0,298.850136,0.7045370370370371
b8_c32k,sieve,37,8,32768,4096,spill,18862.28843987201,19372.08001932802,509.79157945601037,470.56204799999995,0.094536,0.8424,470.56204799999995,3.3180434560000003,0.0,0.049608,0.094536,0.8424,0.0,298.850136,0.7045370370370371
b8_c32k,sieve,38,8,32768,4096,spill,19372.08001932802,19881.87159878403,509.79157945601037,470.56204799999995,0.094536,0.8424,470.56204799999995,3.3180434560000003,0.0,0.049608,0.094536,0.8424,0.0,298.850136,0.7045370370370371
b8_c32k,sieve,39,8,32768,4096,spill,19881.87159878403,20391.66317824004,509.79157945601037,470.56204799999995,0.094536,0.8424,470.56204799999995,3.3180434560000003,0.0,0.049608,0.094536,0.8424,0.0,298.850136,0.7045370370370371
b8_c32k,sieve,40,8,32768,4096,spill,20391.66317824004,20901.45475769605,509.79157945601037,470.56204799999995,0.094536,0.8424,470.56204799999995,3.3180434560000003,0.0,0.049608,0.094536,0.8424,0.0,298.850136,0.7045370370370371
b8_c32k,sieve,41,8,32768,4096,spill,20901.45475769605,21411.24633715206,509.79157945601037,470.56204799999995,0.094536,0.8424,470.56204799999995,3.3180434560000003,0.0,0.049608,0.094536,0.8424,0.0,298.850136,0.7045370370370371
b8_c32k,sieve,42,8,32768,4096,spill,21411.24633715206,21921.03791660807,509.79157945601037,470.56204799999995,0.094536,0.8424,470.56204799999995,3.3180434560000003,0.0,0.049608,0.094536,0.8424,0.0,298.850136,0.7045370370370371
b8_c32k,sieve,43,8,32768,4096,spill,21921.03791660807,22430.82949606408,509.79157945601037,470.56204799999995,0.094536,0.8424,470.56204799999995,3.3180434560000003,0.0,0.049608,0.094536,0.8424,0.0,298.850136,0.7045370370370371
b8_c32k,sieve,44,8,32768,4096,spill,22430.82949606408,22940.621075520092,509.79157945601037,470.56204799999995,0.094536,0.8424,470.56204799999995,3.3180434560000003,0.0,0.049608,0.094536,0.8424,0.0,298.850136,0.7045370370370371
b8_c32k,sieve,45,8,32768,4096,spill,22940.621075520092,23450.412654976102,509.79157945601037,470.56204799999995,0.094536,0.8424,470.56204799999995,3.3180434560000003,0.0,0.049608,0.094536,0.8424,0.0,298.850136,0.7045370370370371
b8_c32k,sieve,46,8,32768,4096,spill,23450.412654976102,23960.204234432113,509.79157945601037,470.56204799999995,0.094536,0.8424,470.56204799999995,3.3180434560000003,0.0,0.049608,0.094536,0.8424,0.0,298.850136,0.7045370370370371
b8_c32k,sieve,47,8,32768,4096,spill,23960.204234432113,24469.995813888123,509.79157945601037,470.56204799999995,0.094536,0.8424,470.56204799999995,3.3180434560000003,0.0,0.049608,0.094536,0.8424,0.0,298.850136,0.7045370370370371
b16_c16k,gpu-only,0,16,16384,4096,spill,0.0,20.658094912000003,20.658094912000003,1.0327680000000043,0.094536,0.8424,1.0327680000000043,3.586478912,0.0,0.049608,0.094536,0.8424,0.0,298.850136,0.7045370370370371
b16_c16k,gpu-only,1,16,16384,4096,spill,20.658094912000003,41.31618982400001,20.65809491200001,1.0327680000000043,0.094536,0.8424,1.0327680000000043,3.586478912,0.0,0.049608,0.094536,0.8424,0.0,298.850136,0.7045370370370371
b16_c16k,gpu-only,2,16,16384,4096,spill,41.31618982400001,61.97428473600003,20.658094912000017,1.0327680000000043,0.094536,0.8424,1.0327680000000043,3.586478912,0.0,0.049608,0.094536,0.8424,0.0,298.850136,0.7045370370370371
b16_c16k,gpu-only,3,16,16384,4096,spill,61.97428473600003,82.63237964800004,20.65809491200001,1.0327680000000043,0.094536,0.8424,1.0327680000000043,3.586478912,0.0,0.049608,0.094536,0.8424,0.0,298.850136,0.7045370370370371
b16_c16k,gpu-only,4,16,16384,4096,spill,82.63237964800004,103.29047456000004,20.658094911999996,1.0327680000000043,0.094536,0.8424,1.0327680000000043,3.586478912,0.0,0.049608,0.094536,0.8424,0.0,298.850136,0.7045370370370371
b16_c16k,gpu-only,5,16,16384,4096,spill,103.29047456000004,123.94856947200003,20.658094911999996,1.0327680000000043,0.094536,0.8424,1.0327680000000043,3.586478912,0.0,0.049608,0.094536,0.8424,0.0,298.850136,0.7045370370370371
b16_c16k,gpu-only,6,16,16384,4096,spill,123.94856947200003,144.60666438400003,20.658094911999996,1.0327680000000043,0.094536,0.8424,1.0327680000000043,3.586478912,0.0,0.049608,0.094536,0.8424,0.0,298.850136,0.7045370370370371
b16_c16k,gpu-only,7,16,16384,4096,spill,144.60666438400003,165.26475929600002,20.658094911999996,1.0327680000000043,0.094536,0.8424,1.0327680000000043,3.586478912,0.0,0.049608,0.094536,0.8424,0.0,298.850136,0.7045370370370371
b16_c16k,gpu-only,8,16,16384,4096,spill,165.26475929600002,185.92285420800002,20.658094911999996,1.0327680000000043,0.094536,0.8424,1.0327680000000043,3.586478912,0.0,0.049608,0.094536,0.8424,0.0,298.850136,0.7045370370370371
b16_c16k,gpu-only,9,16,16384,4096,spill,185.92285420800002,206.58094912,20.658094911999996,1.0327680000000043,0.094536,0.8424,1.0327680000000043,3.586478912,0.0,0.049608,0.094536,0.8424,0.0,298.850136,0.7045370370370371
b16_c16k,gpu-only,10,16,16384,4096,spill,206.58094912,227.239044032,20.658094911999996,1.0327680000000043,0.094536,0.8424,1.0327680000000043,3.586478912,0.0,0.049608,0.094536,0.8424,0.0,298.850136,0.7045370370370371
