design_id,config_id,chunk_count,buffer_slots,policy,layer,layer_start_us,layer_end_us,layer_span_us,attention_latency_us,routing_control_latency_us,expert_latency_us,combine_latency_us,first_partial_ready_offset_us,last_partial_ready_offset_us,first_merge_start_offset_us,last_merge_end_offset_us,gpu_merge_us,cxl_pim_pipeline_us,interpolation
c4_mac24576_p4,chunks8_slots1,8,1,gpu-only-expert-placement,20,239103.60567329926,251058.7859569643,11955.180283665046,9321.970524088467,3.070016,26.557051456,1.036864,310.94232,2463.267456,9308.674396088492,9319.869276088575,11.19488,2463.267456,0
c4_mac24576_p4,chunks8_slots1,8,1,gpu-only-expert-placement,21,251058.7859569643,263013.9662406294,11955.180283665075,9321.970524088467,3.070016,26.557051456,1.036864,310.94232,2463.267456,9308.674396088492,9319.869276088575,11.19488,2463.267456,0
c4_mac24576_p4,chunks8_slots1,8,1,gpu-only-expert-placement,22,263013.9662406294,274969.14652429416,11955.180283664784,9321.970524088467,3.070016,26.557051456,1.036864,310.94232,2463.267456,9308.674396088463,9319.869276088313,11.19488,2463.267456,0
c4_mac24576_p4,chunks8_slots1,8,1,gpu-only-expert-placement,23,274969.14652429416,286924.32680795895,11955.180283664784,9321.970524088467,3.070016,26.557051456,1.036864,310.94232,2463.267456,9308.674396088463,9319.869276088313,11.19488,2463.267456,0
c4_mac24576_p4,chunks8_slots1,8,1,gpu-only-expert-placement,24,286924.32680795895,298879.50709162373,11955.180283664784,9321.970524088467,3.070016,26.557051456,1.036864,310.94232,2463.267456,9308.674396088463,9319.869276088313,11.19488,2463.267456,0
c4_mac24576_p4,chunks8_slots1,8,1,gpu-only-expert-placement,25,298879.50709162373,310834.6873752885,11955.180283664784,9321.970524088467,3.070016,26.557051456,1.036864,310.94232,2463.267456,9308.674396088463,9319.869276088313,11.19488,2463.267456,0
c4_mac24576_p4,chunks8_slots1,8,1,gpu-only-expert-placement,26,310834.6873752885,322789.8676589533,11955.180283664784,9321.970524088467,3.070016,26.557051456,1.036864,310.94232,2463.267456,9308.674396088463,9319.869276088313,11.19488,2463.267456,0
c4_mac24576_p4,chunks8_slots1,8,1,gpu-only-expert-placement,27,322789.8676589533,334745.0479426181,11955.180283664784,9321.970524088467,3.070016,26.557051456,1.036864,310.94232,2463.267456,9308.674396088463,9319.869276088313,11.19488,2463.267456,0
c4_mac24576_p4,chunks8_slots1,8,1,gpu-only-expert-placement,28,334745.0479426181,346700.22822628287,11955.180283664784,9321.970524088467,3.070016,26.557051456,1.036864,310.94232,2463.267456,9308.674396088463,9319.869276088313,11.19488,2463.267456,0
c4_mac24576_p4,chunks8_slots1,8,1,gpu-only-expert-placement,29,346700.22822628287,358655.40850994765,11955.180283664784,9321.970524088467,3.070016,26.557051456,1.036864,310.94232,2463.267456,9308.674396088463,9319.869276088313,11.19488,2463.267456,0
c4_mac24576_p4,chunks8_slots1,8,1,gpu-only-expert-placement,30,358655.40850994765,370610.58879361243,11955.180283664784,9321.970524088467,3.070016,26.557051456,1.036864,310.94232,2463.267456,9308.674396088463,9319.869276088313,11.19488,2463.267456,0
c4_mac24576_p4,chunks8_slots1,8,1,gpu-only-expert-placement,31,370610.58879361243,382565.7690772772,11955.180283664784,9321.970524088467,3.070016,26.557051456,1.036864,310.94232,2463.267456,9308.674396088463,9319.869276088313,11.19488,2463.267456,0
c4_mac24576_p4,chunks8_slots1,8,1,gpu-only-expert-placement,32,382565.7690772772,394520.949360942,11955.180283664784,9321.970524088467,3.070016,26.557051456,1.036864,310.94232,2463.267456,9308.674396088463,9319.869276088313,11.19488,2463.267456,0
c4_mac24576_p4,chunks8_slots1,8,1,gpu-only-expert-placement,33,394520.949360942,406476.1296446068,11955.180283664784,9321.970524088467,3.070016,26.557051456,1.036864,310.94232,2463.267456,9308.674396088463,9319.869276088313,11.19488,2463.267456,0
c4_mac24576_p4,chunks8_slots1,8,1,gpu-only-expert-placement,34,406476.1296446068,418431.30992827157,11955.180283664784,9321.970524088467,3.070016,26.557051456,1.036864,310.94232,2463.267456,9308.674396088463,9319.869276088313,11.19488,2463.267456,0
c4_mac24576_p4,chunks8_slots1,8,1,gpu-only-expert-placement,35,418431.30992827157,430386.49021193635,11955.180283664784,9321.970524088467,3.070016,26.557051456,1.036864,310.94232,2463.267456,9308.674396088463,9319.869276088313,11.19488,2463.267456,0
c4_mac24576_p4,chunks8_slots1,8,1,gpu-only-expert-placement,36,430386.49021193635,442341.67049560114,11955.180283664784,9321.970524088467,3.070016,26.557051456,1.036864,310.94232,2463.267456,9308.674396088463,9319.869276088313,11.19488,2463.267456,0
c4_mac24576_p4,chunks8_slots1,8,1,gpu-only-expert-placement,37,442341.67049560114,454296.8507792659,11955.180283664784,9321.970524088467,3.070016,26.557051456,1.036864,310.94232,2463.267456,9308.674396088463,9319.869276088313,11.19488,2463.267456,0
c4_mac24576_p4,chunks8_slots1,8,1,gpu-only-expert-placement,38,454296.8507792659,466252.0310629307,11955.180283664784,9321.970524088467,3.070016,26.557051456,1.036864,310.94232,2463.267456,9308.674396088463,9319.869276088313,11.19488,2463.267456,0
c4_mac24576_p4,chunks8_slots1,8,1,gpu-only-expert-placement,39,466252.0310629307,478207.2113465955,11955.180283664784,9321.970524088467,3.070016,26.557051456,1.036864,310.94232,2463.267456,9308.674396088463,9319.869276088313,11.19488,2463.267456,0
c4_mac24576_p4,chunks8_slots1,8,1,gpu-only-expert-placement,40,478207.2113465955,490162.3916302603,11955.180283664784,9321.970524088467,3.070016,26.557051456,1.036864,310.94232,2463.267456,9308.674396088463,9319.869276088313,11.19488,2463.267456,0
c4_mac24576_p4,chunks8_slots1,8,1,gpu-only-expert-placement,41,490162.3916302603,502117.57191392506,11955.180283664784,9321.970524088467,3.070016,26.557051456,1.036864,310.94232,2463.267456,9308.674396088463,9319.869276088313,11.19488,2463.267456,0
c4_mac24576_p4,chunks8_slots1,8,1,gpu-only-expert-placement,42,502117.57191392506,514072.75219758984,11955.180283664784,9321.970524088467,3.070016,26.557051456,1.036864,310.94232,2463.267456,9308.674396088463,9319.869276088313,11.19488,2463.267456,0
c4_mac24576_p4,chunks8_slots1,8,1,gpu-only-expert-placement,43,514072.75219758984,526027.9324812546,11955.180283664726,9321.970524088467,3.070016,26.557051456,1.036864,310.94232,2463.267456,9308.674396088463,9319.869276088313,11.19488,2463.267456,0
c4_mac24576_p4,chunks8_slots1,8,1,gpu-only-expert-placement,44,526027.9324812546,537983.1127649196,11955.180283665075,9321.970524088467,3.070016,26.557051456,1.036864,310.94232,2463.267456,9308.674396088347,9319.869276088662,11.19488,2463.267456,0
c4_mac24576_p4,chunks8_slots1,8,1,gpu-only-expert-placement,45,537983.1127649196,549938.2930485847,11955.180283665075,9321.970524088467,3.070016,26.557051456,1.036864,310.94232,2463.267456,9308.674396088347,9319.869276088662,11.19488,2463.267456,0
c4_mac24576_p4,chunks8_slots1,8,1,gpu-only-expert-placement,46,549938.2930485847,561893.4733322498,11955.180283665075,9321.970524088467,3.070016,26.557051456,1.036864,310.94232,2463.267456,9308.674396088347,9319.869276088662,11.19488,2463.267456,0
c4_mac24576_p4,chunks8_slots1,8,1,gpu-only-expert-placement,47,561893.4733322498,573848.6536159149,11955.180283665075,9321.970524088467,3.070016,26.557051456,1.036864,310.94232,2463.267456,9308.674396088347,9319.869276088662,11.19488,2463.267456,0
c4_mac24576_p4,chunks8_slots2,8,2,gpu-only-expert-placement,0,0.0,11955.180283664915,11955.180283664915,9321.970524088467,3.070016,26.557051456,1.036864,310.94232,2334.2436,9308.674396088467,9319.869276088462,11.19488,2334.2436,0
c4_mac24576_p4,chunks8_slots2,8,2,gpu-only-expert-placement,1,11955.180283664915,23910.36056732984,11955.180283664926,9321.970524088467,3.070016,26.557051456,1.036864,310.94232,2334.2436,9308.674396088467,9319.869276088462,11.19488,2334.2436,0
c4_mac24576_p4,chunks8_slots2,8,2,gpu-only-expert-placement,2,23910.36056732984,35865.54085099478,11955.18028366494,9321.970524088467,3.070016,26.557051456,1.036864,310.94232,2334.2436,9308.674396088467,9319.869276088491,11.19488,2334.2436,0
c4_mac24576_p4,chunks8_slots2,8,2,gpu-only-expert-placement,3,35865.54085099478,47820.721134659725,11955.180283664944,9321.970524088467,3.070016,26.557051456,1.036864,310.94232,2334.2436,9308.67439608847,9319.869276088495,11.19488,2334.2436,0
c4_mac24576_p4,chunks8_slots2,8,2,gpu-only-expert-placement,4,47820.721134659725,59775.90141832467,11955.180283664944,9321.970524088467,3.070016,26.557051456,1.036864,310.94232,2334.2436,9308.67439608847,9319.869276088495,11.19488,2334.2436,0
c4_mac24576_p4,chunks8_slots2,8,2,gpu-only-expert-placement,5,59775.90141832467,71731.08170198955,11955.180283664879,9321.970524088467,3.070016,26.557051456,1.036864,310.94232,2334.2436,9308.67439608847,9319.869276088437,11.19488,2334.2436,0
c4_mac24576_p4,chunks8_slots2,8,2,gpu-only-expert-placement,6,71731.08170198955,83686.2619856544,11955.180283664857,9321.970524088467,3.070016,26.557051456,1.036864,310.94232,2334.2436,9308.674396088449,9319.869276088415,11.19488,2334.2436,0
c4_mac24576_p4,chunks8_slots2,8,2,gpu-only-expert-placement,7,83686.2619856544,95641.44226931926,11955.180283664857,9321.970524088467,3.070016,26.557051456,1.036864,310.94232,2334.2436,9308.674396088449,9319.869276088415,11.19488,2334.2436,0
c4_mac24576_p4,chunks8_slots2,8,2,gpu-only-expert-placement,8,95641.44226931926,107596.62255298412,11955.180283664857,9321.970524088467,3.070016,26.557051456,1.036864,310.94232,2334.2436,9308.674396088449,9319.869276088415,11.19488,2334.2436,0
c4_mac24576_p4,chunks8_slots2,8,2,gpu-only-expert-placement,9,107596.62255298412,119551.80283664897,11955.180283664857,9321.970524088467,3.070016,26.557051456,1.036864,310.94232,2334.2436,9308.674396088449,9319.869276088415,11.19488,2334.2436,0
c4_mac24576_p4,chunks8_slots2,8,2,gpu-only-expert-placement,10,119551.80283664897,131506.98312031385,11955.180283664871,9321.970524088467,3.070016,26.557051456,1.036864,310.94232,2334.2436,9308.674396088449,9319.869276088415,11.19488,2334.2436,0
c4_mac24576_p4,chunks8_slots2,8,2,gpu-only-expert-placement,11,131506.98312031385,143462.1634039789,11955.180283665046,9321.970524088467,3.070016,26.557051456,1.036864,310.94232,2334.2436,9308.674396088492,9319.869276088575,11.19488,2334.2436,0
c4_mac24576_p4,chunks8_slots2,8,2,gpu-only-expert-placement,12,143462.1634039789,155417.34368764394,11955.180283665046,9321.970524088467,3.070016,26.557051456,1.036864,310.94232,2334.2436,9308.674396088492,9319.869276088575,11.19488,2334.2436,0
c4_mac24576_p4,chunks8_slots2,8,2,gpu-only-expert-placement,13,155417.34368764394,167372.52397130898,11955.180283665046,9321.970524088467,3.070016,26.557051456,1.036864,310.94232,2334.2436,9308.674396088492,9319.869276088575,11.19488,2334.2436,0
