gpu_prefix_length,gpu_experts,gpu_tokens,pim_tokens,gpu_memory_us,gpu_compute_us,gpu_path_us,pim_path_us,scheduler_us,objective_us,step,layer,selected
16,0;4;5;6;10;11;15;16;17;21;47;48;49;66;83;100,31,33,47.121984,3.130023424,50.252007424,50.844768,20.0,70.844768,0,25,True
16,0;1;5;6;7;11;12;13;17;18;54;55;56;73;90;107,31,33,47.121984,3.130023424,50.252007424,50.844768,20.0,70.844768,0,26,True
16,1;2;3;7;8;12;13;14;18;19;61;62;63;80;97;114,31,33,47.121984,3.130023424,50.252007424,50.844768,20.0,70.844768,0,27,True
16,3;4;8;9;10;14;15;19;20;21;68;69;70;87;104;121,31,33,47.121984,3.130023424,50.252007424,50.844768,20.0,70.844768,0,28,True
16,0;4;5;10;11;15;16;17;21;22;26;75;76;77;94;111,31,33,47.121984,3.130023424,50.252007424,50.844768,20.0,70.844768,0,29,True
16,0;1;6;7;11;12;17;18;22;23;24;82;83;84;101;118,31,33,47.121984,3.130023424,50.252007424,50.844768,20.0,70.844768,0,30,True
16,2;3;7;8;13;14;18;19;24;25;29;89;90;91;108;125,31,33,47.121984,3.130023424,50.252007424,50.844768,20.0,70.844768,0,31,True
16,3;4;9;10;14;15;20;21;25;26;31;32;96;97;98;115,31,33,47.121984,3.130023424,50.252007424,50.844768,20.0,70.844768,0,32,True
16,0;5;6;10;11;16;17;21;22;27;28;32;103;104;105;122,31,33,47.121984,3.130023424,50.252007424,50.844768,20.0,70.844768,0,33,True
16,1;6;7;12;13;17;18;23;24;28;29;34;35;110;111;112,31,33,47.121984,3.130023424,50.252007424,50.844768,20.0,70.844768,0,34,True
16,2;3;8;13;14;19;20;24;25;30;31;35;42;117;118;119,31,33,47.121984,3.130023424,50.252007424,50.844768,20.0,70.844768,0,35,True
16,4;9;10;15;20;21;26;27;31;32;37;38;49;124;125;126,31,33,47.121984,3.130023424,50.252007424,50.844768,20.0,70.844768,0,36,True
