attention_critical_path_us,baseline_total_latency_us,case,delta_vs_baseline_us,events_sha256,kv_read_bytes,kv_read_critical_path_us,memory_peak_bytes,mode,policy,run_manifest_sha256,summary_sha256,throughput_request_tokens_per_s,total_latency_us
91857.997056001,130279.203088257,b16_c8k,1.0040821507573128e-09,5f2894cf5ba1bb1d92db0ad370da4439817a3e453afbffe1a3714ab8d03361b3,103123255296,12890.406912,73961574400,serial-local-hbm-v1,sieve-fixed-16-cycle-v1,4ad61436184cb53db73d644423ed761e4afbc247edf44f41cb9cb6a6c95bf77b,9fb9ceeec51f094fd5ef7d13ff81b72b04bccbba0592f0fccc7bd527b9696bbe,982.505242324,130279.203088258
0.0,20842.673455105,b8_c4k,-390.291455999999,f4f494f7bb2dd24ac97a8f846014c689891ee56ed4a73c1e484e6274ba90ae62,25791823872,3223.977984,64291672064,overlap-local-hbm-v1,gpu-only,1ca6c1e34a206ff52ed4678ca7d8819d33a43bdbbccded17e49f9f34b9f269f2,2c2af81149e20c1eed1a987b2452893c9606551476808357b913afa8d173e06a,3129.219863134,20452.381999105
23385.318912,43837.700911105,b8_c4k,-3223.9779839999974,454fab9a5a2b24940049f5bdc56dda6992d73f0bc2e719ec580169e6ff45f902,25791823872,0.0,64291672064,overlap-local-hbm-v1,noexp,12c11ba7ea4f2653934fff997d1ce622dd811bb610908fb45024e02aaa4b7ada,de96325fd1e0d3238ad082cdca1fddf7b9f30551059a5fc5fbc535c388b35a5b,1575.822047018,40613.722927105
23385.318912,70556.591615999,b8_c4k,-3223.977983999008,4642236867f3de6be3436742a0f67b165f44ae7ca17a1f4d3d71e407f401abd8,25791823872,0.0,64291672064,overlap-local-hbm-v1,allexp,49b134e012ea482e8f52a3f7257ed673ad71e0ce3082babbf0beaa04c1dc26d1,51989605de2f24a623b291a81667b4c193198afc3686ab3e9f35f421f6fca62e,950.505209107,67332.613632
23385.318912,42973.730436993,b8_c4k,-3223.9779839999974,df21cfa29f6c004b2172e01f48d3cb3a2f67895484f2ea05fcc438af2846334d,25791823872,0.0,64291672064,overlap-local-hbm-v1,pimoe,3c64f99b41fb722e3203ac9f3cbf7bb1011a51f2df3b109ae3c897b3b2d7e671,6e30390723e66cd9ec90e1f8f6ebaa38199ecb9f92fcbe56fc60672ce372f4c8,1610.072919968,39749.752452993
23385.318912,51517.700911105,b8_c4k,-3223.9779839999974,a042317609a631ab7a84a8348a24d5494de7467f2987047c8f1df327c76195b9,25791823872,0.0,64291672064,overlap-local-hbm-v1,sieve,5694224db639bacde15badcd30e61a8c3f4699386d67593b181a09c59aec7150,cb51bbe85a5d7cf51b04ec551c2d52e25e9f4df5db1586d22e62f059e2e7c8b3,1325.223986078,48293.722927105
23385.318912,49435.349508161,b8_c4k,-3223.9779840000047,9e4e858f0c7f7714de2557689c57316d98a947e662200715d9bfe6775583b9a2,25791823872,0.0,64291672064,overlap-local-hbm-v1,sieve-cycle-v1,d6d4e4a35475606ebeb545624b03916519bd164f9de09b216996e15043ea6279,68634bb2f3e42e8aa75d567b99a1b1f8e2c861f655407ba26f00dcc9fb83d582,1384.940500338,46211.371524161
23385.318912,51517.700911105,b8_c4k,-3223.9779839999974,5487f66d85c5c6fcc056daa1608e9f8f529caa1f101a3af085e9ec4c937af4f4,25791823872,0.0,64291672064,overlap-local-hbm-v1,sieve-fixed-16-cycle-v1,6d6a4079ee41c293d519a7015d4a356dc614cb24b9a1a04357d8623ad59a29f3,8d31c36713c2bc2079af34723c24ef1784f8fb3c1422927d6bfb2f6756c0ff06,1325.223986078,48293.722927105
0.0,24442.562095105,b8_c8k,-390.291455999999,f143314c73869fb132dc186067f945e9909a055a9fa0a2029255640bf195e7d6,51561627648,6445.203456,67512897536,overlap-local-hbm-v1,gpu-only,78b265883bad1d8b258c3fe6ecffb3dbdc11d118c4f4a741dc7342042f29919b,8abce1bb96f4f727efa1bbb2a5064b6d869de35344979ff57e8a738449130871,2660.871439553,24052.270639105
45933.506304,69985.776943104,b8_c8k,-6445.20345600001,8aa31857ed9871bb7cabc27108f3ab7cdcc3183cdc26d0f29f8fe87aeb671f34,51561627648,0.0,67512897536,overlap-local-hbm-v1,noexp,731bea867bf809691b92ee047d20e9294a0883c859466bc7a5aaee8cf95cc326,8630fb038f740289b15bd2faddd55d807a25b80ad003cf6f7b981bae0e3d82b2,1007.230443285,63540.573487104
