gpu_prefix_length,gpu_experts,gpu_tokens,pim_tokens,gpu_memory_us,gpu_compute_us,gpu_path_us,pim_path_us,scheduler_us,objective_us,step,layer,selected
16,0;9;14;17;24;25;26;50;52;56;65;97;103;107;114;116,43,21,46.947888,3.180355072,50.128243072,32.37468,20.0,70.128243072,1,24,True
16,7;16;18;24;27;31;32;36;41;42;57;77;82;91;98;104,44,20,46.944456,3.184549376,50.129005376,30.817488,20.0,70.129005376,1,25,True
16,7;8;16;20;40;47;55;60;71;75;79;80;88;90;96;102,38,26,47.074872,3.159383552,50.234255552,40.052688,20.0,70.234255552,1,26,True
16,1;3;16;18;20;23;56;59;61;69;72;76;77;86;90;120,41,23,47.003424,3.171966464,50.175390464,35.452872,20.0,70.175390464,1,27,True
16,6;7;13;18;19;40;50;59;60;67;73;84;110;114;115;121,42,22,46.94664,3.176160768,50.122800768,33.895368,20.0,70.122800768,1,28,True
16,14;18;20;36;46;64;71;72;79;81;83;97;100;103;115;116,39,25,47.047728,3.163577856,50.211305856,38.532312,20.0,70.211305856,1,29,True
16,4;8;14;30;32;34;56;64;74;86;93;96;100;110;115;118,38,26,47.074872,3.159383552,50.234255552,40.052688,20.0,70.234255552,1,30,True
16,3;9;28;34;38;39;51;53;58;60;63;87;91;98;103;109,38,26,47.074872,3.159383552,50.234255552,40.052688,20.0,70.234255552,1,31,True
16,3;4;8;9;14;15;20;36;38;43;46;82;106;109;116;127,42,22,46.94664,3.176160768,50.122800768,33.895368,20.0,70.122800768,1,32,True
16,5;10;12;22;32;35;65;94;96;102;104;112;113;114;117;118,37,27,47.01216,3.155189248,50.167349248,41.609256,20.0,70.167349248,1,33,True
16,0;23;30;41;45;69;70;74;76;86;98;103;104;108;109;113,44,20,46.944456,3.184549376,50.129005376,30.817488,20.0,70.129005376,1,34,True
16,0;4;8;21;22;28;29;30;37;39;42;64;69;82;87;89,46,18,46.93884,3.192937984,50.131777984,27.739296,20.0,70.131777984,1,35,True
16,0;9;24;26;40;52;56;73;92;97;103;107;110;114;116;119,43,21,46.947888,3.180355072,50.128243072,32.37468,20.0,70.128243072,1,36,True
16,16;18;20;24;36;41;42;57;75;76;77;82;91;98;104;121,46,18,46.93884,3.192937984,50.131777984,27.739296,20.0,70.131777984,1,37,True
16,0;8;11;17;20;28;47;48;55;60;71;75;79;88;90;96,41,23,47.003424,3.171966464,50.175390464,35.452872,20.0,70.175390464,1,38,True
16,10;18;20;56;59;60;61;69;70;72;76;85;90;101;120;123,41,23,47.003424,3.171966464,50.175390464,35.452872,20.0,70.175390464,1,39,True
