step,layer,batch_size,context_min,context_max,total_assignments,active_experts,inactive_experts,max_expert_load,mean_active_expert_load,cv_all_experts,cv_active_experts,gini_all_experts,hot_expert_count,hot_experts,hot_assignment_share,load_signature
1,18,8,8193,8193,64,8,120,8,8,3.872983346,0.0,0.9375,8,"32,33,58,74,82,104,112,126",1.0,"8,8,8,8,8,8,8,8"
1,19,8,8193,8193,64,10,118,8,6.4,3.691205765,0.377595187,0.936035156,8,"10,28,29,44,52,92,63,56",0.9375,"8,8,8,8,8,8,7,5,3,1"
1,20,8,8193,8193,64,9,119,8,7.111111111,3.766629793,0.260520813,0.936767578,8,"0,76,85,92,123,124,45,114",0.96875,"8,8,8,8,8,8,7,7,2"
1,21,8,8193,8193,64,9,119,8,7.111111111,3.816084381,0.306982542,0.937255859,8,"2,6,11,32,38,44,63,39",0.984375,"8,8,8,8,8,8,8,7,1"
1,22,8,8193,8193,64,9,119,8,7.111111111,3.774917218,0.268822665,0.937011719,8,"1,36,42,48,71,75,89,122",0.96875,"8,8,8,8,8,8,8,6,2"
1,23,8,8193,8193,64,9,119,8,7.111111111,3.733296131,0.224260939,0.936523438,8,"14,31,36,62,65,117,76,4",0.953125,"8,8,8,8,8,8,7,6,3"
1,24,8,8193,8193,64,8,120,8,8,3.872983346,0.0,0.9375,8,"11,18,19,20,28,57,59,108",1.0,"8,8,8,8,8,8,8,8"
1,25,8,8193,8193,64,8,120,8,8,3.872983346,0.0,0.9375,8,"13,34,50,52,72,84,87,110",1.0,"8,8,8,8,8,8,8,8"
1,26,8,8193,8193,64,8,120,8,8,3.872983346,0.0,0.9375,8,"5,24,27,59,72,91,97,113",1.0,"8,8,8,8,8,8,8,8"
1,27,8,8193,8193,64,8,120,8,8,3.872983346,0.0,0.9375,8,"15,63,64,79,84,111,118,122",1.0,"8,8,8,8,8,8,8,8"
1,28,8,8193,8193,64,10,118,8,6.4,3.708099244,0.390312375,0.936035156,8,"6,11,42,70,91,98,122,116",0.9375,"8,8,8,8,8,8,8,4,2,2"
1,29,8,8193,8193,64,8,120,8,8,3.872983346,0.0,0.9375,8,"13,37,46,70,94,105,120,124",1.0,"8,8,8,8,8,8,8,8"
1,30,8,8193,8193,64,9,119,8,7.111111111,3.699662147,0.180872452,0.935791016,8,"6,25,58,74,82,39,98,33",0.9375,"8,8,8,8,8,7,7,6,4"
1,31,8,8193,8193,64,11,117,8,5.818181818,3.631459762,0.468228877,0.934814453,8,"24,28,29,44,63,115,2,41",0.90625,"8,8,8,8,8,8,6,4,4,1,1"
1,32,8,8193,8193,64,9,119,8,7.111111111,3.816084381,0.306982542,0.937255859,8,"0,72,85,90,108,113,124,10",0.984375,"8,8,8,8,8,8,8,7,1"
1,33,8,8193,8193,64,9,119,8,7.111111111,3.816084381,0.306982542,0.937255859,8,"2,13,32,38,53,63,115,6",0.984375,"8,8,8,8,8,8,8,7,1"
1,34,8,8193,8193,64,8,120,8,8,3.872983346,0.0,0.9375,8,"1,5,29,35,36,42,75,89",1.0,"8,8,8,8,8,8,8,8"
1,35,8,8193,8193,64,10,118,8,6.4,3.691205765,0.377595187,0.936035156,8,"6,31,36,62,110,117,120,32",0.9375,"8,8,8,8,8,8,7,5,3,1"
1,36,8,8193,8193,64,9,119,8,7.111111111,3.816084381,0.306982542,0.937255859,8,"11,18,19,20,57,59,62,101",0.984375,"8,8,8,8,8,8,8,7,1"
1,37,8,8193,8193,64,8,120,8,8,3.872983346,0.0,0.9375,8,"2,13,27,50,82,84,91,110",1.0,"8,8,8,8,8,8,8,8"
1,38,8,8193,8193,64,10,118,8,6.4,3.766629793,0.431883593,0.936767578,8,"2,16,24,102,109,110,113,91",0.96875,"8,8,8,8,8,8,8,6,1,1"
1,39,8,8193,8193,64,9,119,8,7.111111111,3.816084381,0.306982542,0.937255859,8,"5,16,48,63,72,84,118,58",0.984375,"8,8,8,8,8,8,8,7,1"
1,40,8,8193,8193,64,8,120,8,8,3.872983346,0.0,0.9375,8,"11,48,69,70,91,97,98,122",1.0,"8,8,8,8,8,8,8,8"
1,41,8,8193,8193,64,9,119,8,7.111111111,3.816084381,0.306982542,0.937255859,8,"37,46,80,81,94,123,124,105",0.984375,"8,8,8,8,8,8,8,7,1"
1,42,8,8193,8193,64,9,119,8,7.111111111,3.816084381,0.306982542,0.937255859,8,"0,30,60,63,70,76,109,58",0.984375,"8,8,8,8,8,8,8,7,1"
1,43,8,8193,8193,64,9,119,8,7.111111111,3.816084381,0.306982542,0.937255859,8,"11,18,45,51,56,96,99,80",0.984375,"8,8,8,8,8,8,8,7,1"
1,44,8,8193,8193,64,9,119,8,7.111111111,3.816084381,0.306982542,0.937255859,8,"7,12,15,79,99,103,104,119",0.984375,"8,8,8,8,8,8,8,7,1"
1,45,8,8193,8193,64,10,118,8,6.4,3.766629793,0.431883593,0.936767578,8,"1,4,16,53,58,77,92,76",0.96875,"8,8,8,8,8,8,8,6,1,1"
1,46,8,8193,8193,64,9,119,8,7.111111111,3.733296131,0.224260939,0.936523438,8,"4,42,46,48,81,102,29,40",0.953125,"8,8,8,8,8,8,7,6,3"
1,47,8,8193,8193,64,10,118,8,6.4,3.64862988,0.34375,0.935302734,8,"10,46,58,71,108,110,83,67",0.921875,"8,8,8,8,8,8,6,5,3,2"
2,0,8,8194,8194,64,8,120,8,8,3.872983346,0.0,0.9375,8,"23,66,70,77,86,87,91,112",1.0,"8,8,8,8,8,8,8,8"
2,1,8,8194,8194,64,8,120,8,8,3.872983346,0.0,0.9375,8,"13,14,29,78,86,101,104,107",1.0,"8,8,8,8,8,8,8,8"
2,2,8,8194,8194,64,8,120,8,8,3.872983346,0.0,0.9375,8,"15,23,56,64,71,72,115,119",1.0,"8,8,8,8,8,8,8,8"
2,3,8,8194,8194,64,8,120,8,8,3.872983346,0.0,0.9375,8,"23,46,53,56,80,90,117,119",1.0,"8,8,8,8,8,8,8,8"
2,4,8,8194,8194,64,8,120,8,8,3.872983346,0.0,0.9375,8,"12,19,64,65,93,108,110,127",1.0,"8,8,8,8,8,8,8,8"
2,5,8,8194,8194,64,8,120,8,8,3.872983346,0.0,0.9375,8,"4,41,45,46,53,63,65,120",1.0,"8,8,8,8,8,8,8,8"
2,6,8,8194,8194,64,9,119,8,7.111111111,3.75,0.243067956,0.936767578,8,"22,33,49,58,74,82,116,121",0.953125,"8,8,8,8,8,8,8,5,3"
2,7,8,8194,8194,64,8,120,8,8,3.872983346,0.0,0.9375,8,"15,19,24,29,44,52,63,114",1.0,"8,8,8,8,8,8,8,8"
2,8,8,8194,8194,64,8,120,8,8,3.872983346,0.0,0.9375,8,"22,45,68,85,92,97,123,124",1.0,"8,8,8,8,8,8,8,8"
2,9,8,8194,8194,64,8,120,8,8,3.872983346,0.0,0.9375,8,"6,13,23,38,44,67,69,92",1.0,"8,8,8,8,8,8,8,8"
2,10,8,8194,8194,64,8,120,8,8,3.872983346,0.0,0.9375,8,"0,1,5,19,36,42,48,92",1.0,"8,8,8,8,8,8,8,8"
2,11,8,8194,8194,64,8,120,8,8,3.872983346,0.0,0.9375,8,"14,15,17,52,62,81,110,121",1.0,"8,8,8,8,8,8,8,8"
2,12,8,8194,8194,64,9,119,8,7.111111111,3.774917218,0.268822665,0.937011719,8,"11,18,37,41,57,106,125,27",0.96875,"8,8,8,8,8,8,8,6,2"
2,13,8,8194,8194,64,8,120,8,8,3.872983346,0.0,0.9375,8,"20,33,37,52,92,93,104,110",1.0,"8,8,8,8,8,8,8,8"
2,14,8,8194,8194,64,8,120,8,8,3.872983346,0.0,0.9375,8,"2,5,9,24,29,61,92,109",1.0,"8,8,8,8,8,8,8,8"
2,15,8,8194,8194,64,8,120,8,8,3.872983346,0.0,0.9375,8,"0,2,51,58,79,84,122,127",1.0,"8,8,8,8,8,8,8,8"
2,16,8,8194,8194,64,8,120,8,8,3.872983346,0.0,0.9375,8,"23,42,48,91,93,97,98,122",1.0,"8,8,8,8,8,8,8,8"
2,17,8,8194,8194,64,8,120,8,8,3.872983346,0.0,0.9375,8,"70,73,80,90,116,122,123,124",1.0,"8,8,8,8,8,8,8,8"
