case,policy,request_scale,layer,layer_start_us,layer_end_us,layer_span_us,attention_critical_path_us,expert_critical_path_us,cxl_critical_path_us,cxl_queue_wait_us_all_requests,cxl_link_busy_ratio
b8_c32k,gpu-only,4096,21,424.98076857600097,445.21794803200106,20.237179456000092,1.0163840000000022,3.309307456,0.0,298.850136,0.7045370370370371
b8_c32k,gpu-only,4096,22,445.21794803200106,465.45512748800115,20.237179456000092,1.0163840000000022,3.309307456,0.0,298.850136,0.7045370370370371
b8_c32k,gpu-only,4096,23,465.45512748800115,485.69230694400125,20.237179456000092,1.0163840000000022,3.309307456,0.0,298.850136,0.7045370370370371
b8_c32k,gpu-only,4096,24,485.69230694400125,505.92948640000134,20.237179456000092,1.0163840000000022,3.309307456,0.0,298.850136,0.7045370370370371
b8_c32k,gpu-only,4096,25,505.92948640000134,526.1666658560015,20.23717945600015,1.0163840000000022,3.309307456,0.0,298.850136,0.7045370370370371
b8_c32k,gpu-only,4096,26,526.1666658560015,546.4038453120015,20.237179456000035,1.0163840000000022,3.309307456,0.0,298.850136,0.7045370370370371
b8_c32k,gpu-only,4096,27,546.4038453120015,566.6410247680016,20.237179456000035,1.0163840000000022,3.309307456,0.0,298.850136,0.7045370370370371
b8_c32k,gpu-only,4096,28,566.6410247680016,586.8782042240016,20.237179456000035,1.0163840000000022,3.309307456,0.0,298.850136,0.7045370370370371
b8_c32k,gpu-only,4096,29,586.8782042240016,607.1153836800016,20.237179456000035,1.0163840000000022,3.309307456,0.0,298.850136,0.7045370370370371
b8_c32k,gpu-only,4096,30,607.1153836800016,627.3525631360017,20.237179456000035,1.0163840000000022,3.309307456,0.0,298.850136,0.7045370370370371
b8_c32k,gpu-only,4096,31,627.3525631360017,647.5897425920017,20.237179456000035,1.0163840000000022,3.309307456,0.0,298.850136,0.7045370370370371
b8_c32k,gpu-only,4096,32,647.5897425920017,667.8269220480017,20.237179456000035,1.0163840000000022,3.309307456,0.0,298.850136,0.7045370370370371
b8_c32k,gpu-only,4096,33,667.8269220480017,688.0641015040018,20.237179456000035,1.0163840000000022,3.309307456,0.0,298.850136,0.7045370370370371
b8_c32k,gpu-only,4096,34,688.0641015040018,708.3012809600018,20.237179456000035,1.0163840000000022,3.309307456,0.0,298.850136,0.7045370370370371
b8_c32k,gpu-only,4096,35,708.3012809600018,728.5384604160018,20.237179456000035,1.0163840000000022,3.309307456,0.0,298.850136,0.7045370370370371
b8_c32k,gpu-only,4096,36,728.5384604160018,748.7756398720019,20.237179456000035,1.0163840000000022,3.309307456,0.0,298.850136,0.7045370370370371
b8_c32k,gpu-only,4096,37,748.7756398720019,769.0128193280019,20.237179456000035,1.0163840000000022,3.309307456,0.0,298.850136,0.7045370370370371
b8_c32k,gpu-only,4096,38,769.0128193280019,789.249998784002,20.237179456000035,1.0163840000000022,3.309307456,0.0,298.850136,0.7045370370370371
b8_c32k,gpu-only,4096,39,789.249998784002,809.487178240002,20.237179456000035,1.0163840000000022,3.309307456,0.0,298.850136,0.7045370370370371
b8_c32k,gpu-only,4096,40,809.487178240002,829.724357696002,20.237179456000035,1.0163840000000022,3.309307456,0.0,298.850136,0.7045370370370371
b8_c32k,gpu-only,4096,41,829.724357696002,849.961537152002,20.237179456000035,1.0163840000000022,3.309307456,0.0,298.850136,0.7045370370370371
b8_c32k,gpu-only,4096,42,849.961537152002,870.1987166080021,20.237179456000035,1.0163840000000022,3.309307456,0.0,298.850136,0.7045370370370371
b8_c32k,gpu-only,4096,43,870.1987166080021,890.4358960640021,20.237179456000035,1.0163840000000022,3.309307456,0.0,298.850136,0.7045370370370371
b8_c32k,gpu-only,4096,44,890.4358960640021,910.6730755200022,20.237179456000035,1.0163840000000022,3.309307456,0.0,298.850136,0.7045370370370371
b8_c32k,gpu-only,4096,45,910.6730755200022,930.9102549760022,20.237179456000035,1.0163840000000022,3.309307456,0.0,298.850136,0.7045370370370371
b8_c32k,gpu-only,4096,46,930.9102549760022,951.1474344320022,20.237179456000035,1.0163840000000022,3.309307456,0.0,298.850136,0.7045370370370371
b8_c32k,gpu-only,4096,47,951.1474344320022,971.3846138880023,20.237179456000035,1.0163840000000022,3.309307456,0.0,298.850136,0.7045370370370371
b8_c32k,sieve,4096,0,0.0,509.78284345599997,509.78284345599997,470.56204799999995,3.309307456,0.0,298.850136,0.7045370370370371
b8_c32k,sieve,4096,1,509.78284345599997,1019.5656869119999,509.78284345599997,470.56204799999995,3.309307456,0.0,298.850136,0.7045370370370371
b8_c32k,sieve,4096,2,1019.5656869119999,1529.3485303679995,509.78284345599957,470.56204799999995,3.309307456,0.0,298.850136,0.7045370370370371
b8_c32k,sieve,4096,3,1529.3485303679995,2039.1313738239992,509.7828434559997,470.56204799999995,3.309307456,0.0,298.850136,0.7045370370370371
b8_c32k,sieve,4096,4,2039.1313738239992,2548.9142172799993,509.78284345600014,470.56204799999995,3.309307456,0.0,298.850136,0.7045370370370371
b8_c32k,sieve,4096,5,2548.9142172799993,3058.697060735999,509.7828434559997,470.56204799999995,3.309307456,0.0,298.850136,0.7045370370370371
b8_c32k,sieve,4096,6,3058.697060735999,3568.4799041919987,509.7828434559997,470.56204799999995,3.309307456,0.0,298.850136,0.7045370370370371
b8_c32k,sieve,4096,7,3568.4799041919987,4078.2627476479984,509.7828434559997,470.56204799999995,3.309307456,0.0,298.850136,0.7045370370370371
b8_c32k,sieve,4096,8,4078.2627476479984,4588.045591103997,509.7828434559988,470.56204799999995,3.309307456,0.0,298.850136,0.7045370370370371
b8_c32k,sieve,4096,9,4588.045591103997,5097.828434559996,509.7828434559988,470.56204799999995,3.309307456,0.0,298.850136,0.7045370370370371
b8_c32k,sieve,4096,10,5097.828434559996,5607.611278015995,509.7828434559988,470.56204799999995,3.309307456,0.0,298.850136,0.7045370370370371
b8_c32k,sieve,4096,11,5607.611278015995,6117.3941214719935,509.7828434559988,470.56204799999995,3.309307456,0.0,298.850136,0.7045370370370371
b8_c32k,sieve,4096,12,6117.3941214719935,6627.176964927992,509.7828434559988,470.56204799999995,3.309307456,0.0,298.850136,0.7045370370370371
b8_c32k,sieve,4096,13,6627.176964927992,7136.959808383991,509.7828434559988,470.56204799999995,3.309307456,0.0,298.850136,0.7045370370370371
b8_c32k,sieve,4096,14,7136.959808383991,7646.74265183999,509.7828434559988,470.56204799999995,3.309307456,0.0,298.850136,0.7045370370370371
b8_c32k,sieve,4096,15,7646.74265183999,8156.525495295989,509.7828434559988,470.56204799999995,3.309307456,0.0,298.850136,0.7045370370370371
b8_c32k,sieve,4096,16,8156.525495295989,8666.308338751987,509.7828434559988,470.56204799999995,3.309307456,0.0,298.850136,0.7045370370370371
b8_c32k,sieve,4096,17,8666.308338751987,9176.091182207985,509.78284345599786,470.56204799999995,3.309307456,0.0,298.850136,0.7045370370370371
b8_c32k,sieve,4096,18,9176.091182207985,9685.874025663983,509.78284345599786,470.56204799999995,3.309307456,0.0,298.850136,0.7045370370370371
b8_c32k,sieve,4096,19,9685.874025663983,10195.656869119981,509.78284345599786,470.56204799999995,3.309307456,0.0,298.850136,0.7045370370370371
b8_c32k,sieve,4096,20,10195.656869119981,10705.439712575979,509.78284345599786,470.56204799999995,3.309307456,0.0,298.850136,0.7045370370370371
b8_c32k,sieve,4096,21,10705.439712575979,11215.222556031977,509.78284345599786,470.56204799999995,3.309307456,0.0,298.850136,0.7045370370370371
b8_c32k,sieve,4096,22,11215.222556031977,11725.005399487975,509.78284345599786,470.56204799999995,3.309307456,0.0,298.850136,0.7045370370370371
